ordinal,section,why_out,carries_a_value_or_citation,text
47,1.1,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,Each is informative about something.
159,1.2,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,"**Contributions, with each one's status.**"
177,1.3,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,Section 7 supplies first-passage semantics.
341,3.5,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,**Theorem 5 (Flux-bounding envelopes).** *Assume:*
420,4.8,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,Two obligations ride the theorem.
478,6.1,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,**Definition 4 (Local net-depletion ratio).**
531,6.5.2,"left out by the extractor: fewer than six words, or a fragment the maths strip leaves behind",False,**Groundwater (G3P v1.12 basin series).**
,,block not read as prose: a heading,,"# Typed Flux Ledgers and Depletion Arithmetic ### Conservation, componentwise diagnostics, and the semantics of depletion horizons"
,,block not read as prose: author line or front matter,,*Amin Abaee — Independent Researcher — ORCID 0000-0002-0019-1842 — amin_abaee@ut.ac.ir — 6 September 2026*
,,block not read as prose: the reading note at the head of the file,,"> **How to read this version.** This is a plain-language rendering of the article. The argument, the numbers, the tables, the named examples and every stated limit are the author's own. What changed is the language: shor"
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: a heading,,"## Abstract — in plain words, then in the author's terms"
,,block not read as prose: the reading note at the head of the file,,"> **[Editor's note — flagged for the author, not their claim.]** The abstract's ""flux-reconstruction identity"" says unobserved *fluxes* are recovered from observed *stock* changes. Lemma 3 in Section 3.3, and its proof, "
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: a heading,,# 1. Introduction
,,block not read as prose: a heading,,## 1.1 Two ways this kind of accounting goes wrong
,,block not read as prose: a heading,,"## 1.2 What this article builds, and what it refuses to"
,,block not read as prose: a heading,,## 1.3 How the article is organised
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** This section builds the ledger. Four rules do all the work. (1) Every box holds one named material in one named place, with one unit. (2) Nothing moves without a named flow. (3) A flow can only take"
,,"block not read as prose: a table, display or code block",,"| Symbol | Means | Where | |---|---|---| | $N$ | living stock; nutrient stock *(local to §2.4)* | §2.2; §2.4 | | $S^{\top}$ | typed stoichiometric (incidence) operator | §2.1, Lemma 3, Prop. 4, Thm 5, Thm 8 | | $v$ | non"
,,block not read as prose: a heading,,"## 2.1 Typed stocks, primitive fluxes, and the incidence discipline"
,,block not read as prose: prose with no sentence of six words or more,,"A ledger state $x\in\mathbb{R}^m_+$ collects compartments, and each entry carries a material identity, a spatial support and a physical unit. Internal dynamics use non-negative primitive fluxes:"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot x = S^{\top} v(x,y,\theta) + B\,u_\partial(t) + d\,x(t),\qquad v\ge 0 \tag{1}$$"
,,block not read as prose: prose with no sentence of six words or more,,"If $L^{\top}S^{\top}=0$, then $\tfrac{d}{dt}(L^{\top}x) = L^{\top}B u_\partial + L^{\top}dx$: one conservation law per conserved moiety and boundary. That identity does **not** create a single scalar sustainability mass "
,,block not read as prose: prose with no sentence of six words or more,,1. $dx$ must itself be typed. A physical disturbance on represented material is a different object from a structural discrepancy term. 2. $S^{\top}$ may contain signed entries even though $v\ge 0$. The sign pattern of th
,,block not read as prose: a heading,,## 2.2 The closed finite-donor ledger
,,block not read as prose: prose with no sentence of six words or more,,"$$s=\frac{A_{\mathrm{act}}}{A_{\mathrm{act}}+A_0}\ (\text{support factor}),\qquad \sigma=\frac{A_{\mathrm{geo}}}{A_{\mathrm{geo}}+A_{g0}}\ (\text{donor fraction}),$$ $$R(N,A_{\mathrm{act}})=rN\Big(1-\frac NK\Big)s,\qquad"
,,block not read as prose: prose with no sentence of six words or more,,"$R$ is net regeneration — how much new living stock appears. $T$ is gross uptake — how much mineral the living stock pulls in. $B$ is gross turnover: everything the biota moves, whether or not it stays. The four geo-inte"
,,block not read as prose: prose with no sentence of six words or more,,"$$e_{GA}=\omega_A A_{\mathrm{eq,intrinsic}}\,\sigma,\qquad e_{AG}=\omega_A A_{\mathrm{act}},\qquad C_{A,\mathrm{lim}}=C_A\sigma,\qquad \gamma_U U\ \text{(detritus return)}.$$"
,,"block not read as prose: a table, display or code block",,"| Recharge law | Form | Status | |---|---|---| | **Primitive donor-limited exchange** | $e_{GA}=\omega_A A_{\mathrm{eq,intrinsic}}\sigma$ | The closed block's law (§2.2). The forward rate depends on the donor alone, not "
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot N=R-qEN,\qquad \dot A_{\mathrm{act}}=-B+e_{GA}-e_{AG}+\gamma_U U,$$ $$\dot A_{\mathrm{geo}}=-e_{GA}+e_{AG},\qquad \dot U=T-\gamma_U U. \tag{2}$$"
,,block not read as prose: prose with no sentence of six words or more,,"This comes with a **memory–effort pair** $(Z,E)$ driven by $qEN-R$ — never by mining; $q$ is the per-effort extraction coefficient of the harvest law. The pair is the registered object of the companion delay-dynamics ana"
,,block not read as prose: prose with no sentence of six words or more,,The block's harvest routing is the $\alpha=0$ corner of §2.3: harvest $qEN$ leaves the natural block entirely as product. A positive detritus-routed fraction $\alpha>0$ would add $\alpha qEN$ to $\dot U$ and reduce the b
,,block not read as prose: prose with no sentence of six words or more,,The **registered parameterization** is
,,block not read as prose: prose with no sentence of six words or more,,"$$r=0.02,\quad K=100,\quad q=0.001,\quad \kappa_A=0.05,\quad \omega_A=10^{-3},\quad A_0=1,\quad A_{\mathrm{eq,intrinsic}}=50,\quad \gamma_U=0.2.$$"
,,block not read as prose: prose with no sentence of six words or more,,"The geological half-saturation $A_{g0}$ is declared positive (for smoothness of $\sigma$) under the separation-of-scale condition $A_{\mathrm{geo}}\gg A_{g0}$, a regime in which $\sigma\approx 1$. The scale separation is"
,,block not read as prose: prose with no sentence of six words or more,,"With $A_0>0$ and $A_{g0}>0$ the right-hand side of (2) is locally Lipschitz on the closed orthant, and the comparison $\dot N\le rN(1-N/K)$, with $\dot N\le0$ once $N\ge K$, bounds the stock by $\max\{N(0),K\}$. Classica"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot M=-qEN-C_{A,\mathrm{lim}},\qquad M=N+A_{\mathrm{act}}+A_{\mathrm{geo}}+U,$$"
,,block not read as prose: a heading,,## 2.3 The six-compartment illustration
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot z=S(\alpha,\rho_P)\,v(z,u),\quad z=(X,U,A,G,P,W)^{\top},\quad v=(g,m,h,d_U,e_{GA},e_{AG},c_G,r_P)^{\top},$$"
,,block not read as prose: prose with no sentence of six words or more,,"$$S(\alpha,\rho_P)=\begin{pmatrix} 1&-1&-1&0&0&0&0&0\\ 0&1&\alpha&-1&0&0&0&\rho_P\\ -1&0&0&1&1&-1&0&0\\ 0&0&0&0&-1&1&-1&0\\ 0&0&1-\alpha&0&0&0&1&-1\\ 0&0&0&0&0&0&0&1-\rho_P \end{pmatrix},\qquad \mathbb{1}^{\top}S=0 .$$"
,,block not read as prose: a heading,,## 2.4 The four-stock resource–sink–nutrient–product system
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot{\mathsf S}=g(\mathsf S,\mathsf N)-H,\qquad \dot{\mathsf K}=\theta_K H-\theta_\delta \mathsf K,$$ $$\dot{\mathsf N}=-g(\mathsf S,\mathsf N)+\theta_\delta\mathsf K+I_{\mathsf N},\qquad \dot{\mathsf P}=(1-\theta_K)H-"
,,block not read as prose: prose with no sentence of six words or more,,"where $\theta_K$ is the sink-generation fraction, $\theta_\delta$ the assimilation rate, $I_{\mathsf N}$ external nutrient input and $Q_{\mathsf P}$ product disposal. Adding the four equations gives the mass balance"
,,block not read as prose: prose with no sentence of six words or more,,"$$\frac{d}{dt}(\mathsf S+\mathsf K+\mathsf N+\mathsf P)=I_{\mathsf N}-Q_{\mathsf P},$$"
,,block not read as prose: prose with no sentence of six words or more,,"1. **No assimilation** ($\delta\equiv0$). Then $\dot{\mathsf K}\ge w(H_{\min})>0$, and the sink exceeds any finite ceiling $K_{\max}$ in finite time. 2. **Weak assimilation** ($\delta(K_{\max})<w(H_{\min})$). The sink lo"
,,block not read as prose: a heading,,## 2.5 Mechanism typing: routing is never determined by diagnostic labels
,,"block not read as prose: a table, display or code block",,| System | Existing-unit removal | Replenishment degradation | Spread | |---|---|---|---| | Soil zinc under crop export | $\psi=0.85$ | $\psi=0.25$ (impaired mineralisation) | trough depth varies by a factor of about 1.5
,,block not read as prose: a heading,,## 2.6 Support saturation and the logistic limit
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot X_\kappa=\mu X_\kappa\frac{A_\kappa}{\kappa+A_\kappa}-\delta X_\kappa-cX_\kappa^2-qE(t)X_\kappa,$$"
,,block not read as prose: prose with no sentence of six words or more,,*and let $X_0$ solve the limiting equation with the same initial value. Then $\sup_{t\le T}|X_\kappa(t)-X_0(t)|=O(\kappa)$. If $\mu>\delta$ and $c>0$ the limit is $\dot X_0=rX_0(1-X_0/K_{\log})-qE(t)X_0$ with $r=\mu-\del
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Write $e(t)=|X_\kappa(t)-X_0(t)|$. The saturation defect satisfies $\big|\tfrac{A_\kappa}{\kappa+A_\kappa}-1\big|=\tfrac{\kappa}{\kappa+A_\kappa}\le\tfrac{\kappa}{a_0}$, so the vector-field defect obeys $|\dot X"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot X=(\mu-d)X-cX^2-qEX=rX\Big(1-\frac XK\Big)-qEX,\qquad r=\mu-d,\quad K=\frac{\mu-d}{c},$$"
,,block not read as prose: prose with no sentence of six words or more,,"*requiring $\mu>d$ and $c>0$. The identity is pointwise on the interior support region and not uniform through the depleted-pool boundary: for every $K_A>0$, $A/(K_A+A)=0$ at $A=0$.*"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* At fixed $A>0$, $A/(K_A+A)\to1$ as $K_A\to0$, so $g\to\mu X$ pointwise and $g-m\to(\mu-d)X-cX^2$; the algebraic reduction to logistic form with $r=\mu-d$, $K=(\mu-d)/c$ is immediate. The non-uniformity statement"
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** Three claims about a ledger are routinely treated as one. ""The accounts add up."" ""The materials are conserved."" ""Nothing crosses a safety limit."" They are three different claims, and the second does"
,,block not read as prose: a heading,,"## 3.1 Three predicates, separated"
,,block not read as prose: the reading note at the head of the file,,"> **Numbering note.** The two layering propositions in this section carry their own counter — Propositions 1–2. Every other numbered statement in the article runs on a single 1–20 sequence counter. So ""Proposition 4"", ""P"
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* $\tfrac{d}{dt}(\ell^{\top}x)=\ell^{\top}\dot x=\ell^{\top}(S^{\top}v+b)=(\ell^{\top}S^{\top})v+\ell^{\top}b=\ell^{\top}b$. $\blacksquare$
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* First clause: on the closed ledger (2), constant extraction at a rate exceeding regeneration — a comparison flux, not a donor-limited primitive of the ledger's own discipline — is exactly mass-balanced (Theorem "
,,block not read as prose: a heading,,## 3.2 The typed safety set
,,block not read as prose: prose with no sentence of six words or more,,The typed safety set at time $t$ is
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal K(t)=\{x\ge 0: \underline B(t)\le Cx\le \overline B(t)\},$$"
,,block not read as prose: prose with no sentence of six words or more,,"and the non-compensatory assessment reads $\mathcal V_{\mathrm{typed}}=\{x(\cdot): x(t)\in\mathcal K(t)\ \forall t\in[0,T]\}$. This is a **conjunctive** criterion: all moiety barriers must be satisfied simultaneously, an"
,,block not read as prose: a heading,,## 3.3 The flux-reconstruction identity
,,block not read as prose: prose with no sentence of six words or more,,"$$S(t)=S(0)+\int_0^t\big(CS^{\top}v(\tau)+Cb(\tau)\big)\,d\tau,$$"
,,block not read as prose: prose with no sentence of six words or more,,"*and for continuous barriers $\underline B,\overline B$ the trajectory satisfies $\underline B_m(t)\le S_m(t)\le\overline B_m(t)$ for all $t\in[0,T]$ if and only if the corresponding integrated inequalities hold for all "
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* Integrate $\dot S=C\dot x=C(S^{\top}v+b)=CS^{\top}v+Cb$ from $0$ to $t$; this is valid because $x$ is absolutely continuous and $C$ is linear. The barrier equivalence follows because $S_m$ is continuous (as $x$ 
,,block not read as prose: prose with no sentence of six words or more,,"- **Prescribed or observed fluxes.** If $v(t)$ and $b(t)$ are known and integrable, stock balances are reconstructed by integration without solving the internal constitutive dynamics. This is the computationally simple a"
,,block not read as prose: prose with no sentence of six words or more,,"With $h_m(t)\ge0$ the net outflow of moiety $m$ across the system boundary and $r_m(t)\ge0$ the net inflow, the sign convention reads"
,,block not read as prose: prose with no sentence of six words or more,,"$$S_m(t)=S_m(0)+\int_0^t\big(r_m(\tau)-h_m(\tau)\big)\,d\tau,\qquad\text{and barrier safety is}\qquad S_m(0)+\int_0^t\big(r_m(\tau)-h_m(\tau)\big)\,d\tau\ \ge\ \underline B_m(t).$$"
,,block not read as prose: the reading note at the head of the file,,"> **[Editor's note — flagged for the author, not their claim.]** The lemma's name and the abstract both describe recovering *fluxes* from *stocks*; the statement and proof above integrate observed fluxes to reconstruct t"
,,block not read as prose: a heading,,## 3.4 The conservation-law reduction
,,block not read as prose: prose with no sentence of six words or more,,"**Proposition 4 (Conservation-law reduction).** *If $\ell^{\top}S^{\top}=0$ for some vector $\ell\in\mathbb R^n$, then $\ell^{\top}x(t)=\ell^{\top}x(0)+\int_0^t\ell^{\top}b(\tau)d\tau$; in a closed system ($b=0$), $\ell^"
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* This is Proposition 1 integrated: $\tfrac{d}{dt}(\ell^{\top}x)=\ell^{\top}b$; integrate. $\blacksquare$
,,block not read as prose: prose with no sentence of six words or more,,"A conserved moiety is a row $c_m^{\top}$ of $C$ with $c_m^{\top}S^{\top}=0$; then $S_m=c_m^{\top}x$ satisfies $\dot S_m=c_m^{\top}b$. In a closed system $S_m$ is constant, and in an open system $S_m$ changes only through"
,,block not read as prose: a heading,,## 3.5 The flux-bounding envelope theorem
,,block not read as prose: prose with no sentence of six words or more,,"*For any matrix $A$ write $A^+=\max\{A,0\}$ and $A^-=\max\{-A,0\}$ entrywise, and define for each moiety $m$ the envelope integrands*"
,,block not read as prose: prose with no sentence of six words or more,,"$$\varphi_m(\tau)=(CS^{\top})_m^+\underline v(\tau)-(CS^{\top})_m^-\overline v(\tau)+C_m^+\underline b(\tau)-C_m^-\overline b(\tau),$$ $$\psi_m(\tau)=(CS^{\top})_m^+\overline v(\tau)-(CS^{\top})_m^-\underline v(\tau)+C_m"
,,block not read as prose: prose with no sentence of six words or more,,"*and the envelopes $\underline S_m(t)=S_m(0)+\int_0^t\varphi_m(\tau)d\tau$, $\overline S_m(t)=S_m(0)+\int_0^t\psi_m(\tau)d\tau$. Then $S_m(t)\in[\underline S_m(t),\overline S_m(t)]$ for all $t\in[0,T]$ and all $m$.*"
,,block not read as prose: prose with no sentence of six words or more,,"*(The lower/upper bars on $v$, $b$, $\varphi$, $\psi$ and $S$ are lost in the PDF text layer; the arrangement above is the one the sandwich relation requires, and it is stated here so the theorem can be checked.)*"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* By Lemma 3, $\dot S_m=(CS^{\top}v+Cb)_m$. For each row $m$ and time $\tau$, the bilinear form $(CS^{\top})_m v$ is linear in $v$ with coefficient vector $(CS^{\top})_m$, whose positive and negative parts give, o"
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* By Theorem 5 every such trajectory satisfies $\underline S_m(t)\le S_m(t)\le\overline S_m(t)$; the certificate conditions sandwich $S_m$ between the barriers. $\blacksquare$
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot M=-qEN-C_{A,\mathrm{lim}}\in[-(qE_{\max}K+C_A),\,0],\qquad\text{hence}\qquad M(t)\in\big[M(0)-(qE_{\max}K+C_A)t,\;M(0)\big].$$"
,,block not read as prose: a heading,,"## 3.6 Finite exhaustion under uniform drift, and its failure mode"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* While $S(t)>\underline B$ the drift bound integrates to $S(t)\le S(0)-\varepsilon t$; the right-hand side reaches $\underline B$ at $t=(S(0)-\underline B)/\varepsilon$, so by continuity of $S$ the crossing occur"
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** Here the article stops building and starts proving, for the closed system of §2.2. Eight things are shown. Nothing disappears from the natural block except through the named exits. Nothing ever goes"
,,block not read as prose: a heading,,## 4.1 The natural-block mass identity
