epistemic_type,required_verifier,minimum_evidence,prohibited_shortcut
identity,"direct algebra or construction check","explicit derivation","prose confidence"
physical_law,"primary source plus dimensional/accounting check","scope and units","analogy"
definition,"semantic consistency review","unambiguous objects and domain","empirical truth claim"
theorem,"proof review; formal tool where suitable","assumptions proof counterexamples","pattern completion"
conditional_theorem,"proof review plus hypothesis audit","complete implication and scope","treating hypotheses as established"
numerical_proposition,"independent solver and convergence/refinement","code parameters tolerances outputs rerun","single figure"
statistical_claim,"reproducible analysis","data estimator uncertainty held-out or prospective test","verbal plausibility"
causal_claim,"identification and rival models","design assumptions diagnostics","correlation"
empirical_regularity,"replication and population/scope audit","data provenance uncertainty","audit consensus"
conjecture,"proof gap and disproof route","precise statement countermodel search","status upgrade without evidence"
normative_postulate,"ethical/legal/participatory justification","authority affected groups revision rule","calling it scientifically verified"
conceptual_synthesis,"independent adversarial review","source mapping contradictions limitations","novelty by recombination alone"
research_programme,"feasibility and destination review","open obligations owners milestones","claiming completion"
