map_id,source_id,source_label,theorem_family,retention_tier,paper_destination,selection_reason,formal_source_words,proof_location_status,verification_dependencies
TM-A001-001,A001,Theorem 2.1 (Constraint monotonicity).,F13 core viability and obstruction calculus,main,Paper 2,nonduplicate foundational proposition or obstruction,55,located,V-A001-13;V-A001-14
TM-A001-002,A001,Theorem 2.2 (Control-set monotonicity).,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,35,located,V-A001-13;V-A001-14
TM-A001-003,A001,Theorem 2.3 (Product structure).,F13 core viability and obstruction calculus,main,Paper 2,nonduplicate foundational proposition or obstruction,107,located,V-A001-13;V-A001-14
TM-A001-004,A001,Theorem 2.4 (Face necessity is not kernel necessity).,F13 core viability and obstruction calculus,main,Paper 2,nonduplicate foundational proposition or obstruction,136,located,V-A001-13;V-A001-14
TM-A001-005,A001,Theorem 2.5 (Physical primacy).,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,201,located,V-A001-13;V-A001-14
TM-A001-006,A001,Theorem 2.6 (Information contraction).,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,217,located,V-A001-13;V-A001-14
TM-A001-007,A001,Proposition 3.1.,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,169,located,V-A001-13;V-A001-14
TM-A001-008,A001,Corollary 3.1.,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,54,immediate_from_preceding_proposition,V-A001-13;V-A001-14
TM-A001-009,A001,Definition 3.1.,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,81,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-010,A001,Definition 3.2.,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,156,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-011,A001,Definition 3.3 (Robust informational capture basin).,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,99,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-012,A001,Definition 3.4 (Worst-case informational recovery time).,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,59,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-013,A001,Proposition 3.2 (Information monotonicity of recovery time).,F04 recovery and irreversibility,main,Paper 2,unique recovery/emergency-envelope family,120,located,V-A001-13;V-A001-14
TM-A001-014,A001,Definition 4.1: Information set.,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,54,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-015,A001,Definition 4.2.,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,86,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-016,A001,Definition 4.3.,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,54,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-017,A001,Theorem 4.1.,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,155,located,V-A001-13;V-A001-14
TM-A001-018,A001,Corollary 4.1.,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,21,immediate_from_information_equivalence,V-A001-13;V-A001-14
TM-A001-019,A001,Proposition 4.2 (Downward closure of the epistemic kernel).,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,111,located,V-A001-13;V-A001-14
TM-A001-020,A001,Theorem 4.2.,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",518,located,V-A001-13;V-A001-14
TM-A001-021,A001,Theorem 4.3 (Delay margin in feedback).,F07 diagnostics and delay certificates,delegated,Paper 4/monograph,model-specific delay or quantitative margin result,317,located,V-A001-13;V-A001-14
TM-A001-022,A001,Theorem 4.4 (Observer-to-viability transfer with safety buffer).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",592,located,V-A001-13;V-A001-14
TM-A001-023,A001,Theorem 4.5 (Robust invariance / tangency).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",680,located,V-A001-02;V-A001-13;V-A001-14
TM-A001-024,A001,Theorem 4.6 (Belief viability fixed point).,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,597,located,V-A001-13;V-A001-14
TM-A001-025,A001,Definition 4.4 (Safely informative action).,F03 observation and epistemic viability,delegated,Paper 1/Paper 5/monograph,duplicate hierarchy/kernel formulation or application framing,66,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-026,A001,Theorem 4.7 (Instantaneous common-action obstruction).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",78,proof_omitted_add_explicit_one_step_proof,V-A001-13;V-A001-14
TM-A001-027,A001,Example 4.1 (Hidden-mode conflict).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",93,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-028,A001,Theorem 4.8 (Delayed-information obstruction).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",323,located,V-A001-13;V-A001-14
TM-A001-029,A001,Theorem 4.9 (Observer safety buffer).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",465,located,V-A001-13;V-A001-14
TM-A001-030,A001,Proposition 4.1 (Eroded kernels under output feedback).,F03 observation and epistemic viability,main,Paper 2,"unique obstruction, observer transfer, tangency, or implementation theorem",425,located,V-A001-13;V-A001-14
TM-A001-031,A001,Definition 5.1.,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,80,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-032,A001,Theorem 5.1.,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,122,located,V-A001-13;V-A001-14
TM-A001-033,A001,Theorem 5.2.,F13 core viability and obstruction calculus,main,Paper 2,nonduplicate foundational proposition or obstruction,143,located,V-A001-13;V-A001-14
TM-A001-034,A001,Definition 5.2 (Viability crisis).,F13 core viability and obstruction calculus,delegated,Paper 1/monograph,duplicate tangency/definition or architectural framing,476,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-035,A001,Proposition 6.2 (Quasi-positivity: orthant invariance).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,124,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-036,A001,Theorem 6.1.,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,450,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-037,A001,Theorem 6.2 (Unimodal resource–sink kernel).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,428,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-038,A001,Corollary 6.1 (Constrained MSY).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,487,derivation_embedded_in_statement,V-A001-03;V-A001-13;V-A001-14
TM-A001-039,A001,Theorem 6.3.,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,340,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-040,A001,Theorem 6.4 (Allee shutdown kernel).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,354,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-041,A001,Theorem 6.5 (Allee kernel with output floor).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,298,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-042,A001,Proposition 6.1 (Mass balance).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,180,located,V-A001-03;V-A001-13;V-A001-14
TM-A001-043,A001,Theorem 6.6 (Pollution-suppressed growth).,F08 scalar resource and sink kernels,delegated,Paper 3/monograph,resource/application theorem family,916,located,V-A001-03;V-A001-04;V-A001-13;V-A001-14
TM-A001-044,A001,Theorem 7.1 (Constant-harvest joint kernel).,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,212,located,V-A001-05;V-A001-13;V-A001-14
TM-A001-045,A001,Lemma 7.1 (Scalar concave capital viability).,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,450,located,V-A001-05;V-A001-13;V-A001-14
TM-A001-046,A001,Definition 7.1.,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,63,not_required_definition_or_example,V-A001-05;V-A001-13;V-A001-14
TM-A001-047,A001,Theorem 7.2 (Stationary joint viability).,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,174,located,V-A001-05;V-A001-13;V-A001-14
TM-A001-048,A001,Theorem 7.3 (Distributional feasibility and physical side effects).,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,486,located,V-A001-05;V-A001-13;V-A001-14
TM-A001-049,A001,Theorem 8.1.,F02 noncompensation and substitution feasibility,main,Paper 2,dimensionally correct CES family complementary to A002 Farkas alternative,390,located,V-A001-13;V-A001-14
TM-A001-050,A001,Corollary 8.1 (Essentiality and unbounded-substitution thresholds).,F02 noncompensation and substitution feasibility,main,Paper 2,dimensionally correct CES family complementary to A002 Farkas alternative,615,located,V-A001-13;V-A001-14
TM-A001-051,A001,Theorem 9.1.,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,111,located,V-A001-13;V-A001-14
TM-A001-052,A001,Corollary 9.1.,"F09 resource-capital, distribution, and exhaustibility",delegated,Paper 3/monograph,resource/application theorem family,94,immediate_from_direct_integration,V-A001-05;V-A001-13;V-A001-14
TM-A001-053,A001,Theorem 10.1.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,162,located,V-A001-13;V-A001-14
TM-A001-054,A001,Theorem 10.2.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,300,located,V-A001-13;V-A001-14
TM-A001-055,A001,Counterexample 10.1 (Emptiness despite factorwise viability at MSY).,"F10 coupling, networks, and restricted composition",bounded_appendix,Paper 2 example section,minimal destruction/rescue motivation,242,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-056,A001,Example 10.1 (Coupling creates viability absent in a factor).,"F10 coupling, networks, and restricted composition",bounded_appendix,Paper 2 example section,minimal destruction/rescue motivation,171,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-057,A001,Proposition 10.1 (Generic non-polyhedrality).,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,370,located,V-A001-06;V-A001-13;V-A001-14
TM-A001-058,A001,Example 10.2 (Identical-patch orbital barrier; explicit).,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,386,not_required_definition_or_example,V-A001-02;V-A001-13;V-A001-14
TM-A001-059,A001,Theorem 10.3.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,136,located,V-A001-13;V-A001-14
TM-A001-060,A001,Theorem 10.4.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,206,located,V-A001-13;V-A001-14
TM-A001-061,A001,Theorem 11.1.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,39,located,V-A001-13;V-A001-14
TM-A001-062,A001,Theorem 11.2 ($k$-redundancy).,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,40,located,V-A001-13;V-A001-14
TM-A001-063,A001,Theorem 11.3 (Row-sum containment).,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,57,located,V-A001-13;V-A001-14
TM-A001-064,A001,Theorem 11.4.,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,132,located,V-A001-13;V-A001-14
TM-A001-065,A001,Theorem 11.5 (Dynamic cascade safety).,"F10 coupling, networks, and restricted composition",delegated,monograph/Paper 3,detailed patch or cascade family not needed for theorem-atlas core,227,located,V-A001-13;V-A001-14
TM-A001-066,A001,Definition 12.1.,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,37,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-067,A001,Lemma 12.1.,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,330,located,V-A001-07;V-A001-13;V-A001-14
TM-A001-068,A001,Theorem 12.1 (Over-extraction).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,701,located,V-A001-13;V-A001-14
TM-A001-069,A001,Theorem 12.2 (Commons obstruction).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,228,located,V-A001-13;V-A001-14
TM-A001-070,A001,Corollary 12.1 (Quota rescue).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,165,located,V-A001-09;V-A001-13;V-A001-14
TM-A001-071,A001,Theorem 13.1.,F11 commons and institutional implementation,main,Paper 2,formal implementation equivalence/safety result,106,located,V-A001-13;V-A001-14
TM-A001-072,A001,Definition 13.3 (Institutionally robust safe prescription).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,53,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-073,A001,Theorem 13.2.,F11 commons and institutional implementation,main,Paper 2,formal implementation equivalence/safety result,120,located,V-A001-13;V-A001-14
TM-A001-074,A001,Theorem 13.3 (Sanction sufficiency).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,372,located,V-A001-13;V-A001-14
TM-A001-075,A001,Theorem 13.5 (Ostrom sufficiency).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,381,located,V-A001-11;V-A001-13;V-A001-14
TM-A001-076,A001,Theorem 13.6 (Ostrom obstruction: each principle can be necessary).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,586,located,V-A001-11;V-A001-13;V-A001-14
TM-A001-077,A001,Definition 13.1 (Constructors).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,137,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-078,A001,Definition 13.2 (Implementation lattices).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,43,not_required_definition_or_example,V-A001-12;V-A001-13;V-A001-14
TM-A001-079,A001,Proposition 13.1 (Lattice structure).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,140,located,V-A001-12;V-A001-13;V-A001-14
