decision_id,topic,ER020_21,ER022_23_25,ER024,ER026,ER027_28,ER029,joint_decision,implementation
XN-J01,C4 architectural identity,access-limited,accept,accept,accept,accept,accept,accept candidate only,implement concise crosswalk
XN-J02,C5 dynamic projection,unavailable,accept,accept,not central,not central,not central,accept with closure distinction,implement concise
XN-J03,Concrete G f g,missing,missing,missing,missing,missing,missing,unresolved independent blocker,state explicitly
XN-J04,Selected C4 tau4.5 orbit,not available,not yet,not yet,numerical candidate,numerical candidate,numerical candidate,accept numerical large-cycle candidate,implement numerical status
XN-J05,Orbit period and ranges,not available,not available,not available,partly reported,called missing,called missing,internal reproduction closes passport,implement exact reproduced numbers
XN-J06,Memory-floor margin,flags issue,flags issue,deletes max,misstates raw deficit,called missing,called missing,accept full-argument margin 0.00147554,implement local caveat
XN-J07,Discrete Floquet spectra,not available,not available,not available,accept,accept,accept,accept complete finite-discrete spectra,implement table
XN-J08,Empirical multiplier envelope,not available,not available,not available,accept as numerical,accept as empirical,accept as empirical,accept nonrigorous envelope,implement caveated
XN-J09,Continuum phase simplicity,missing,missing,overclaims,overclaims,missing,overclaims,not proved,state open
XN-J10,Complete continuum spectrum,missing,missing,missing,overstates compactness,missing,missing,not proved,state open
XN-J11,Tangent Mc and nonnormality,missing,missing,missing,missing or generic,called missing,incorrectly one,accept internal Mc 4.55356 and projection norm evidence,implement numerical
XN-J12,Slack scaffold,missing,missing,missing,generic/outdated,called missing,called missing,accept internal tau10 scaffold only,implement as scaffold not source model
XN-J13,Slack rightmost pair,missing,missing,missing,outdated,called missing,called missing,accept high-confidence numerical root count,implement caveated
XN-J14,Product rate,missing,missing,missing,binding-only error,missing,missing,accept numerical beta 0.00052673,implement as target
XN-J15,Bunching,not verified,not verified,not verified,binding-only error,not verified,one-period error,retain prefactor-dependent threshold only,implement target not verification
XN-J16,C4 fold multiplier,not central,correct,transfers C3,not central,transfers C3,transfers C3,classification remains open,correct wording
XN-J17,BLZ exact theorem,unmatched,unmatched,overmarks,unmatched,unmatched,unmatched,bibliography only exact match open,no promotion
XN-J18,DT0 regularity,not central,minor correction,overmarks,not central,wrong wording,not central,correct to joint/operator-time regularity,implement only if discussed
XN-J19,Vertical graph,conditional,conditional,overclaims,conditional,conditional,conditional,conditional projected curve only,no promotion
XN-J20,Nonlinear Hopf,conditional,conditional,overclaims,conditional,conditional,overclaims,no change,no promotion
XN-J21,Yield parity,narrow,narrow,overstates,not central,narrow,overstates,narrow certificate-only wording,no change
XN-J22,Publication action,no change or remark,concise remark,large block,numerical remark,numerical remark,large block,one compact subsection no theorem promotion,implement
