claim_id,claim_version,claim_type,statement,owning_paper,owning_location,as_of_version,value_printed,value_canonical,archive_file,archive_row_key,archive_md5,allowed_citers,cross_mention_rule,status,last_verified,notes
CL-COD-A-H1-PERSIST,1,domain_fact,Spec A coarse-regime h=1 pooled rolling RMSE of persistence,E1,"Sec results, RMSE table",v50,98.0 (rounded: 98.0),98.05,wave_e_cod/results/rolling_summary.csv,rollA,d7f465e49bfd,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,F1 prints CSV precision 98.05; E1 rounds to 98.0
CL-COD-A-H5-PERSIST,1,domain_fact,Spec A coarse-regime h=5 pooled rolling RMSE of persistence,E1,RMSE table,v50,264.7,264.72,wave_e_cod/results/rolling_summary.csv,rollA,d7f465e49bfd,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-A-H1-M1B,1,domain_fact,Spec A h=1 closest structural module M1b and deficit vs persistence,E1,RMSE table,v50,114.8 (+17.1%),114.8024 (+17.09%),wave_e_cod/results/rolling_summary.csv,rollA,d7f465e49bfd,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-A-H5-M1B,1,domain_fact,Spec A h=5 closest structural module M1b,E1,RMSE table,v50,288.6 (+9.0%),288.58 (+9.01%),wave_e_cod/results/rolling_summary.csv,rollA,d7f465e49bfd,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-B-PERSIST-MIXED,1,domain_fact,Spec B mixed-origin persistence RMSE h=1/h=5,E1,RMSE table,v50,88 / 318,87.65 / 317.71,wave_e_cod/results/xte_rolling_summary.csv,rollB,6af3603d3507,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,3.22 kt rounding artefact class documented in COMPANION_CROSSCHECK
CL-COD-B-PERSIST-MATCHED,1,domain_fact,Spec B origin-matched persistence RMSE h=1/h=5,E1,RMSE table,v50,84.4 / 300.0,84.43 / 299.98,wave_e_cod/results/xte_rolling_summary.csv,rollB,6af3603d3507,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-B-H1-M1,1,domain_fact,Spec B h=1 M1 RMSE and deficits mixed/matched,E1,RMSE table,v50,119.5,"119.47 (+36.30% mix, +41.50% matched)",wave_e_cod/results/xte_rolling_summary.csv,rollB,6af3603d3507,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-B-H5-M1,1,domain_fact,Spec B h=5 M1 RMSE and deficits,E1,RMSE table,v50,431.9,"431.90 (+35.94% mix, +43.98% matched)",wave_e_cod/results/xte_rolling_summary.csv,rollB,6af3603d3507,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-COD-CAPELIN-NA,1,domain_fact,Capelin module origin-matched performance both specs; loses every cell,E1,Table 8 (index modules origin sets),v50,150/262 vs 97/193 (A); 132/492 vs 79/288 (B),150.02/262.34 vs 97.0/193 (n=24/20); 132.02/491.74 vs 79/288 (n=36/32),wave_e_cod/results/rolling_summary.csv;wave_e_cod/results/xte_rolling_summary.csv,rollA;rollB,d7f465e49bfd;6af3603d3507,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,F1 'companion Table 8' pointer verified 2026-09-13
CL-COD-COLLAPSE-WINDOW,1,domain_fact,Collapse-window test: 694-819 kt band vs persistence 670 kt; every model misses,E1,Sec 3.1 fixed-window collapse test,v50,694-819 vs 670,694-819 vs 670,wave_e_cod/results/rolling_summary.csv,rollA,d7f465e49bfd,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,Lemma L1 anchor (autonomous-collapse empirical instance of D1 regime)
CL-COD-DM-AH1-M4vM3,2,domain_fact,"Spec A h=1 M4-vs-M3 DM row: paper coarse-regime z=1.21 [4.4,134.4]; replication z=0.99 [4.7,144.7]",E1,DM longtable + row note,v50,"z=1.21, [+4.4,+134.4]; note quotes z=0.99, [+4.7,+144.7]","coarse z=1.21; annual-landings replication z=0.99 (same class: CI excl 0, |z|<1.96)",batch 7 (audits of agent arena 1 paper rewrites)/results/e1_dm_uncertainty.csv,dmE1,a29a878c75c7,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,v1 superseded (in-place v49 edit reversed per versioning directive); verdict-neutral; F1 quotes replication
CL-EDW-PERSIST,1,domain_fact,Edwards persistence RMSE h=1/h=5,E3,Table 4,v16,13.23 / 21.11,13.2301 / 21.1056,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-EDW-M1,1,domain_fact,Edwards M1 AR(1) RMSE h=1/h=5 and margins,E3,Tables 4-5,v16,12.84 / 21.25 (-2.96%),12.8391 / 21.2514,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,"coin-flip margin, CI covers zero, MAE tie"
CL-EDW-M2M,1,domain_fact,Edwards M2m (climatological-flux map) RMSE and margins,E3,Tables 4-5,v16,12.28 / 17.44 (-7.16% / -17.34%),12.2832 / 17.4449,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,class grounds: collapses to AR(1) under constant fluxes; comparator gate 4.33% < 5%
CL-EDW-ORACLE,1,domain_fact,Edwards oracle (diagnostic; cannot retain) RMSE,E3,oracle rows,v16,7.55 / 10.86,7.5467 / 10.8645,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,nowcast not forecast
CL-EDW-BAND,1,instrument_property,Edwards 5% tie bands derived from persistence (0.95x),F1,Sec 5 gate decomposition,v26,12.57 / 20.05,12.5686 / 20.0503,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,E3 has no band by its point rule; band is F1 unified-rule instrument
CL-EDW-RECHARGE-WHITE,1,domain_fact,"Recharge near-white: corr(R_t,R_t-1)=0.17 vs corr(dH,R)=0.74",E3,Sec 5.4,v16,0.17 vs 0.74,0.17 / 0.74,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,Lemma L2 anchor (stock-flow futile when forcing increment not persistent)
CL-RULE-EDW-M1-DIFF,1,rule_verdict,"E3 frozen h=1 point rule retains M1 provisionally; F1 unified rule (band, both horizons) withholds; recorded rule-version difference, not data difference",F1,Sec 5 gating paragraph,v26,retained (E3 point rule) / withheld (unified),rule-version difference documented both papers,wave_e_edwards/results/rolling_summary.csv,rollE3,0f0df1ab6105,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,anti-circularity: E3 must NOT cite F1's unified verdict as support for its own
CL-INST-D1-POWER,1,instrument_property,D1 autonomous-collapse power at both sigma,F1,Sec 4 simulation abstract + Sec 4,v26,0.955/0.960 (200 reps),0.955/0.960,wave_e_cod/results/sim_retention_power.csv,sim,6f78d43a8310,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,"R=200 reps D1/D5, 100 D2-D4, 30 D6-D7 per v26"
CL-INST-D234-POWER,1,instrument_property,D2/D3/D4 power (weak in-class detection),F1,Sec 4,v26,0.780/0.060; 0.110/0.100; 0.010/0.010,as printed,wave_e_cod/results/sim_retention_power.csv,sim,6f78d43a8310,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-INST-D5-SPEC,1,instrument_property,D5 persistence-true specificity and false-retention rates,F1,Sec 4,v26,0.995/0.950; FR 0.034 per module-rep pair; 0.005/0.050 per replicate (low/high sigma); 0.0055 per module under null,as printed,wave_e_cod/results/sim_retention_power.csv,sim,6f78d43a8310,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-INST-D67,1,instrument_property,Out-of-class D6/D7 over-retention vs 0.10 threshold (specificity conditional),F1,Sec 4 amendment,v26,0.633/0.733; 0.933/0.867 vs 0.10,as printed,wave_e_cod/results/sim_misspecified_D6D7.csv,simD67,6ed9f7b8ddad,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-INST-T71,1,instrument_property,T=71 operating characteristics for cod-length Spec-B series,F1,Abstract parenthetical + data availability,v26,(10 reps/cell) D1 0.900/1.000; D5 FR 0.000/0.000,as printed,wave_e_cod/results/sim_retention_power.csv,sim,6f78d43a8310,E1;E3,one sentence + section/table pointer; never restate numbers,pending_campaign,2026-09-17,full 200-rep campaign in flight: cod-t-71-band-calibration-full-03c5c81d; frontier + 5% row reconciliation due; supersedes this row on landing
CL-INST-IC,1,instrument_property,IC n log MSE + 2k dominates rule on both axes,F1,Sec 6.5,v26,0.509/0.992 vs 0.373/0.973,as printed,wave_e_cod/results/sim_retention_power.csv,sim,6f78d43a8310,E1;E3,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-ARC-COD-B-CARRIER,1,archive_pointer,"Spec B carrier: xteNCAM Table 17 SSB 1954-2024, 2025 vintage (Regular et al. 2025 ResDoc 2025/048); 2024=342 kt",ARCHIVE,wave_e_cod/data/SOURCES.md,-,n/a,2024=342 kt,wave_e_cod/data/xtencam_table17_ssb.csv,xt17,9f02065772c8,E1;E3;F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,frozen-verdict authority; never edit
CL-ARC-COD-LANDINGS-2025V,1,archive_pointer,"Landings driver 1954-2023, 2025 vintage",ARCHIVE,SOURCES.md,-,n/a,calendar-year totals,wave_e_cod/data/dfo_2025_table1_landings.csv,land25,a69fd480c1f2,E1;E3;F1,one sentence + section/table pointer; never restate numbers,frozen,2026-09-17,
CL-ARC-COD-2026V-SAR,1,archive_pointer,2026 vintage SAR points: SSB_2025=449 (363-554); SSB_2026=542 (423-696); 2024 revised 338,ARCHIVE,SOURCES.md; dfo_2026_sar_published_points.csv,-,n/a,449 / 542 / 338,wave_e_cod/data/dfo_2026_sar_published_points.csv,sar26,f19be266a133,E1;E3;F1,one sentence + section/table pointer; never restate numbers,parked,2026-09-17,new-origin scoring only; vintage-mixing forbidden; NOT in any paper
CL-ARC-COD-2026V-LAND,1,archive_pointer,"2026 vintage ResDoc 2026/026: 2024 reported landings 15,661 t provisional; 2025 calendar landings NOT yet in science series",ARCHIVE,SOURCES.md; dfo_2026_resdoc026_reported_landings_2020_2024.csv,-,n/a,"15,661 (2024)",wave_e_cod/data/dfo_2026_resdoc026_reported_landings_2020_2024.csv,land26,2fdeb862d3ad,E1;E3;F1,one sentence + section/table pointer; never restate numbers,parked,2026-09-17,conduit checks logged; origin-2024 catch-supplied modules unblocked
