locator_id,source_id,source_sha256,source_label,source_title,statement_start_line,statement_end_line,proof_start_line,proof_end_line,statement_words,proof_words,proof_presence,substantive_correction_dependencies,documentation_dependencies,verification_status,source_file
TM-A001-001,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.1 (Constraint monotonicity).,"If $\mathcal V_1 \subseteq \mathcal V_2$ are closed, then",124,129,130,131,23,32,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-002,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.2 (Control-set monotonicity).,"If $U_1(x) \subseteq U_2(x)$ for every $x$, then",132,137,138,139,26,9,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-003,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.3 (Product structure).,"If $\mathcal P = \prod_\ell \mathcal P_\ell$ is a product of uncoupled systems with constraint sets $\mathcal V_\ell$, then",140,149,150,151,73,34,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-004,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.4 (Face necessity is not kernel necessity).,"Let $\mathcal V$ be a closed product of intervals and let $\Gamma$ be a face. The Nagumo condition $F(x, U(x)) \cap T_{\mathcal V}(x) \neq \varnothing$ is necessary for $\Gamma \subset \operatorname{Viab}(\mathcal V)$ but not necessary for $\operatorname{Viab}(\mathcal V) \neq \varnothing$.",152,153,154,157,57,79,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-005,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.5 (Physical primacy).,"Let $U_{\mathrm{phys}}$ be the maximal correspondence compatible with the physical actuators, and let $U_{\mathrm{soc}}(x) \subseteq U_{\mathrm{phys}}(x)$ be any socially available restriction. Then",158,167,168,173,70,131,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-006,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 2.6 (Information contraction).,Let $\pi_{\mathrm{perf}}$ be perfect information and $\pi_{\mathrm{obs}}$ any causal observation-based class. Then,174,181,182,195,38,179,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-007,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 3.1.,Let $K = \operatorname{Viab}(\mathcal V)$. Then,196,203,204,209,43,126,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-008,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Corollary 3.1.,"Every state in $\mathcal V \setminus K$ has infinite recovery time to $K$ if recovery is required to remain in $\mathcal V$. Any definition of ""recovery resilience"" based on reaching $K$ while staying in $\mathcal V$ is identically zero on $\partial K$.",210,213,,,54,0,immediate_from_preceding_proposition,,V-A001-13;V-A001-14,source_derivation_identified_manual_rewrite_optional,uploads/topdown.txt
TM-A001-009,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 3.1.,Let $\mathcal E \supseteq \mathcal V$ be a closed emergency envelope. Define the capture basin,214,240,,,81,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-010,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 3.2.,"For $x \in \operatorname{Capt}_{\mathcal E}(K)$, define the envelope-relative recovery time",241,269,,,156,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-011,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 3.3 (Robust informational capture basin).,"An initial belief $B_0 \subseteq \mathcal E$ belongs to $\operatorname{ERCapt}_{\mathcal E}(K_{\mathcal I})$ if there exists an observation-based policy and a finite $T$ such that, for every compatible initial state, disturbance, and observation error:",270,276,,,99,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-012,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 3.4 (Worst-case informational recovery time).,"For an initial belief $B_0$,",277,293,,,59,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-013,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 3.2 (Information monotonicity of recovery time).,"If $\mathcal I_1 \succeq \mathcal I_2$, then $\tau_{\mathcal E}^{\mathcal I_1}(B) \le \tau_{\mathcal E}^{\mathcal I_2}(B)$ whenever both are compared from corresponding initial information states.",294,295,296,307,37,83,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-014,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 4.1: Information set.,"Given an observation history $y_{[0,t]}$, define the compatible-state set",308,323,,,54,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-015,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 4.2.,A control selected from information state $B$ is robustly admissible if,324,338,,,86,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-016,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 4.3.,Let $\mathfrak B$ be a suitable hyperspace of closed information sets. Define,339,354,,,54,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-017,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.1.,"Suppose observation structure $\mathcal I_1$ is more informative than $\mathcal I_2$, meaning every $\mathcal I_2$-history is a causal function of the corresponding $\mathcal I_1$-history. Then",355,364,365,368,54,101,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-018,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Corollary 4.1.,"If the observation history has a causal inverse, then epistemic and perfect-information kernels coincide, under either admissibility semantics.",369,370,,,21,0,immediate_from_information_equivalence,,V-A001-13;V-A001-14,source_derivation_identified_manual_rewrite_optional,uploads/topdown.txt
TM-A001-019,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 4.2 (Downward closure of the epistemic kernel).,"If $B \in \operatorname{EViab}_{\mathcal I}(\mathcal V)$ and $C \subseteq B$ is a possible initial information set under the same observation model, then $C \in \operatorname{EViab}_{\mathcal I}(\mathcal V)$.",371,372,373,378,44,67,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-020,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.2.,"There exist systems with $\operatorname{Viab}(\mathcal V; U, \pi_{\mathrm{perf}}) = \mathcal V \neq \varnothing$ and $\operatorname{EViab}_{\mathcal I}(\mathcal V) = \varnothing$ for a non-injective observation $\mathcal I$.",379,380,381,398,34,484,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-021,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.3 (Delay margin in feedback).,"For the scalar delayed controlled system $\dot x = -a x - B x(t-\tau)$ ($a > 0$, $B \ge 0$):",399,403,404,413,74,243,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-022,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.4 (Observer-to-viability transfer with safety buffer).,Consider the output-feedback system,414,437,438,476,188,404,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-023,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.5 (Robust invariance / tangency).,"If $K \subseteq \mathcal V$ is closed, $\mathcal R_K(x) \neq \varnothing$ for every $x \in K$, and $\mathcal R_K$ admits a measurable feedback selection $k(x)$ with well-posed closed-loop, then $K$ is robustly controlled invariant, $K \subseteq \operatorname{RViab}(\mathcal V)$. Under the usual regularity and convexity assumptions of discriminating-kernel theory the converse holds, so $\operatorname{RViab}(\mathcal V)$ is the largest closed subset of $\mathcal V$ satisfying the robust tangency condition.",477,478,479,525,79,601,located,V-A001-02,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
