master_id,status,auto_status,score,auto_tier,method,type,pipeline,model_version,revision_line,revision_section,curated_note,auto_note
12A.1,superseded,superseded,0.822,auto-covered,semantic,actionable,execute,corrected (1‴),706,10. Demonstration,"Head-line masking numbers were computed on the ORIGINAL model; under the corrected model the mask is narrow/deficit-limited (~5.4 yr, vanishing >0.075).",
12A.2,covered,covered,0.859,auto-covered,semantic,actionable,execute,corrected (1‴),112,2.2 Governing equations,K->0 blow-up fixed via A_ext extinction floor + clamps.,
12A.3,covered,superseded,0.794,auto-covered,semantic,actionable,execute,original,494,"8. Numerics, verification, and well-posedness",D_E method-dependent (5.26/6.74/18.70); verified 5.26.,"AUTO said 'superseded', tier 'auto-covered' (score 0.79); differs from curated verdict — see note."
12A.4,covered,covered,0.888,auto-covered,semantic,actionable,execute,original (see note),277,4.3 Stability; the vicious cycle; the stability classification,Knife-edge chi=1 <=> rho=3q flagged as non-generic.,
12B.5,covered,covered,0.624,auto-covered,semantic,actionable,execute,corrected (1‴),5,Abstract,"per-capita footprint constant; endogenising e, r_opt offered.",
12B.6,covered,covered,0.616,auto-covered,semantic,actionable,execute,corrected (1‴),350,4.5 Macro-ratio safe operating space (`R_B` vs `R_A`),gross gamma E retained as named supplement variant.,
12B.7,covered,covered,0.634,auto-covered,semantic,actionable,execute,corrected (1‴),130,3. Assumptions,"K is algebraic, not a state; system is 3-D.",
12C.8,covered,superseded,0.64,auto-covered,semantic,actionable,execute,corrected (1‴),494,"8. Numerics, verification, and well-posedness",state no interpolation / use non-multiple step.,"AUTO said 'superseded', tier 'auto-covered' (score 0.64); differs from curated verdict — see note."
12C.9,covered,superseded,0.788,auto-covered,semantic,actionable,execute,corrected (1‴),494,"8. Numerics, verification, and well-posedness",state grid range; normalise Re lambda by r.,"AUTO said 'superseded', tier 'auto-covered' (score 0.79); differs from curated verdict — see note."
12C.10,covered,superseded,0.626,auto-covered,semantic,actionable,execute,corrected (1‴),494,"8. Numerics, verification, and well-posedness",complete scenario/parameter table.,"AUTO said 'superseded', tier 'auto-covered' (score 0.63); differs from curated verdict — see note."
12D.11,covered,covered,0.833,auto-covered,semantic,actionable,execute,original (see note),977,References,cite Hutchinson 1948; soften Haberl & Aubauer novelty.,
12D.12,covered,covered,0.621,auto-covered,semantic,actionable,execute,original (see note),5,Abstract,correct Brander-Taylor characterisation.,
12D.13,covered,covered,0.86,auto-covered,semantic,actionable,execute,original (see note),977,References,GFN reference list adopted.,
12D.14,covered,covered,0.769,auto-covered,semantic,actionable,execute,original (see note),307,4.4 The complete dimensionless group set,"E5 cleanliness: antibiotic, elevator, per-year, units, tense.",
12E.1,covered,superseded,0.77,auto-covered,semantic,informational,presence,original (see note),494,"8. Numerics, verification, and well-posedness",verified-correct list preserved ('do not fix').,"AUTO said 'superseded', tier 'auto-covered' (score 0.77); differs from curated verdict — see note."
12G.1,covered,covered,0.898,auto-covered,semantic,actionable,execute,original (see note),426,6. Falsifiable predictions,four falsifiable predictions stated.,
12G.2,covered,superseded,0.897,auto-covered,semantic,actionable,execute,original,494,"8. Numerics, verification, and well-posedness",basin-shrinkage 0.506->0.042; ORIGINAL-model S0. Corrected S0 is a one-sided boundary -> recompute separately (risk R1).,"AUTO said 'superseded', tier 'auto-covered' (score 0.90); differs from curated verdict — see note."
12G.3,covered,covered,0.8,auto-covered,semantic,actionable,execute,corrected (1‴),307,4.4 The complete dimensionless group set,"full dimensionless group set s,g,f,theta,tau.",
12G.4,covered,covered,0.75,auto-covered,semantic,actionable,execute,original,412,5. Results: principal claims,"B/C = environment recovers, humans collapse (opposite framing).",
12G.5,covered,superseded,0.862,auto-covered,semantic,actionable,execute,original,494,"8. Numerics, verification, and well-posedness","(20,20) recovers / (30,25) collapses; min-M grid-sensitive.","AUTO said 'superseded', tier 'auto-covered' (score 0.86); differs from curated verdict — see note."
12G.6,covered,covered,0.733,auto-covered,semantic,actionable,execute,corrected (1‴),920,13. Limitations,"submission hygiene: May orphan, Modeling/Modelling, keywords, .py/.pdf.",
12G.7,covered,covered,0.758,auto-covered,semantic,actionable,execute,corrected (1‴),150,3. Assumptions,"Jevons rebound, tau_D asymmetry, omega=0, trivial equilibrium, Omega footnote, dde23 covered; the SECOND masking set's numbers are superseded (original model).",
