id,why,pointer,kind,exists,overlap,target_title,flagged
D0024,signposting: asserts nothing,the one object,count,True,,,
D0024,signposting: asserts nothing,the two bodies,count,True,,,
D0052,supported at high confidence,Section 6.5.2,section,True,2,The applied depletion-horizon tables,
D0058,supported at high confidence,Section 10.1,section,True,1,"Compensatory aggregation is rejected, not merely discouraged",
D0087,supported at high confidence,Section 8.2,section,True,9,The groundwater template and the two-pool gap,
D0099,signposting: asserts nothing,Section 7,section,True,3,First-Passage Semantics on Declared Surrogates,
D0100,supported at high confidence,Section 6.5.2,section,True,2,The applied depletion-horizon tables,
D0120,signposting: asserts nothing,Section 3,section,True,3,Certification Layers and the Accounting Theorems,
D0144,supported at high confidence,Section 2.3,section,True,0,The six-compartment illustration,
D0155,supported at high confidence,Section 6.5.2,section,True,1,The applied depletion-horizon tables,
D0159,supported at high confidence,§2,section,True,4,The Typed Primitive Ledger,
D0162,supported at high confidence,§3,section,True,11,Certification Layers and the Accounting Theorems,
D0167,signposting: asserts nothing,Section 7,section,True,3,First-Passage Semantics on Declared Surrogates,
D0168,supported at high confidence,Section 8,section,True,4,Domain Templates at Registered Status,
D0182,signposting: asserts nothing,Section 2,section,True,7,The Typed Primitive Ledger,
D0219,supported at high confidence,§2.1,section,True,2,"Typed stocks, primitive fluxes, and the incidence discipline",
D0235,supported at high confidence,§4.2,section,True,4,Stoichiometric conservation of the full ledger,
D0236,supported at high confidence,§4.2,section,True,5,Stoichiometric conservation of the full ledger,
D0245,supported at high confidence,§4.2,section,True,6,Stoichiometric conservation of the full ledger,
D0259,supported at high confidence,§2.1,section,True,4,"Typed stocks, primitive fluxes, and the incidence discipline",
D0294,supported at high confidence,Remark 2,remark,True,14,Registered-family support-saturated identity,
D0313,supported at high confidence,Proposition 2,proposition,True,18,.** *Barrier safety does not follow from accounting consistency: a trajectory can be perfe,
D0319,supported at high confidence,§10.1,section,True,0,"Compensatory aggregation is rejected, not merely discouraged",
D0354,supported at high confidence,Proposition 6,proposition,True,14,Finite exhaustion under uniform negative drift,
D0363,supported at high confidence,§6.4,section,True,1,Robust semantics,
D0373,supported at high confidence,§2.2,section,True,1,The closed finite-donor ledger,
D0374,supported at high confidence,§4.2-4.3,section,True,6,Stoichiometric conservation of the full ledger,
D0378,supported at high confidence,Theorem 8,theorem,True,4,Stoichiometric conservation,
D0378,supported at high confidence,Theorem 9,theorem,True,4,Six-compartment conservation,
D0381,supported at high confidence,§2.2,section,True,1,The closed finite-donor ledger,
D0384,supported at high confidence,Theorem 9,theorem,True,12,Six-compartment conservation,
D0384,supported at high confidence,§2.3,section,True,1,The six-compartment illustration,
D0388,supported at high confidence,Theorems 7-9,theorem,True,0,Natural-block mass identity,
D0388,supported at high confidence,Proposition 1,proposition,True,2,.** *Conservation consistency implies accounting consistency for the conserved quantities:,
D0391,supported at high confidence,Theorem 11,theorem,True,20,Forward invariance of the six-compartment cone,
D0391,supported at high confidence,§2.3,section,True,3,The six-compartment illustration,
D0396,supported at high confidence,Theorem 12,theorem,True,7,No interior rest at positive effort,
D0402,supported at high confidence,Theorem 13,theorem,True,23,Vanishing-extraction rest set,
D0402,supported at high confidence,the three sets,count,True,,,
D0402,supported at high confidence,the two geochemical,count,True,,,
D0404,supported at high confidence,Theorem 12,theorem,True,8,No interior rest at positive effort,
D0406,supported at high confidence,Theorems 7-12,theorem,True,1,Natural-block mass identity,
D0412,supported at high confidence,§9,section,True,3,The Interface with Institutional Delay Dynamics,
D0414,supported at high confidence,Conditional Theorem 15,conditional theorem,True,19,Hybrid moiety balance,
D0414,supported at high confidence,§2.2,section,True,1,The closed finite-donor ledger,
D0414,supported at high confidence,§5.4,section,True,2,The componentwise deficit and the specialization identity,
D0419,supported at high confidence,the six material,count,True,,,
D0420,supported at high confidence,the six material,count,True,,,
D0427,supported at high confidence,Theorem 13,theorem,True,3,Vanishing-extraction rest set,
D0427,supported at high confidence,Theorem 14,theorem,True,2,Integrable extraction,
D0427,supported at high confidence,§9,section,True,4,The Interface with Institutional Delay Dynamics,
D0435,supported at high confidence,the one service-specific,count,True,,,
D0441,supported at high confidence,§10.1,section,True,12,"Compensatory aggregation is rejected, not merely discouraged",
D0445,supported at high confidence,Definition 2,definition,True,10,Directional regenerative-support fraction and gap,
D0453,supported at high confidence,Lemma 3,lemma,True,4,Flux reconstruction under a typed balance law,
D0469,supported at high confidence,Definition 3,definition,True,10,Gross turnover intensity and support coverage,
D0484,supported at high confidence,§3.6,section,True,5,"Finite exhaustion under uniform drift, and its failure mode",
D0488,supported at high confidence,§6.1,section,True,4,The three quantities,
D0489,supported at high confidence,§6.1,section,True,0,The three quantities,
D0506,supported at high confidence,the four classes,count,True,,,
D0522,supported at high confidence,§7.3,section,True,0,The inverse-Gaussian groundwater first passage,
D0522,supported at high confidence,§7.7,section,True,0,The explicit non-claims,
D0524,supported at high confidence,§6.5.3,section,True,2,The phosphate reserve-life ratio,
D0544,supported at high confidence,the four basins,count,True,,,
D0545,supported at high confidence,§2.1,section,True,0,"Typed stocks, primitive fluxes, and the incidence discipline",yes
D0546,supported at high confidence,§10.1,section,True,3,"Compensatory aggregation is rejected, not merely discouraged",
D0562,supported at high confidence,§6.5.2,section,True,0,The applied depletion-horizon tables,
D0562,supported at high confidence,the eight zero,count,True,,,
D0570,supported at high confidence,§6.5,section,True,0,Application classifications at their exact status,
D0572,supported at high confidence,Definition 6,definition,True,14,Observed-drift Brownian surrogate,
D0572,supported at high confidence,§7.2-7.4,section,True,14,The observed-drift Brownian surrogate,
D0572,supported at high confidence,§2.2,section,True,0,The closed finite-donor ledger,
D0576,supported at high confidence,§2.2,section,True,8,The closed finite-donor ledger,
D0582,supported at high confidence,§6.5.1,section,True,4,Groundwater anomaly-persistence indices,
D0600,supported at high confidence,§6.5.4,section,True,4,The fisheries removals-only pressure time,
D0618,supported at high confidence,§2.3,section,True,4,The six-compartment illustration,
D0630,signposting: asserts nothing,§6,section,True,2,Depletion Arithmetic,
D0632,signposting: asserts nothing,§2,section,True,4,The Typed Primitive Ledger,
D0638,supported at high confidence,§5.4,section,True,7,The componentwise deficit and the specialization identity,
D0638,supported at high confidence,§2.2,section,True,2,The closed finite-donor ledger,
D0641,supported at high confidence,Theorem 1,theorem,True,2,Support-saturated logistic stock limit,
D0641,supported at high confidence,Remark 2,remark,True,11,Registered-family support-saturated identity,
D0643,supported at high confidence,§2.5,section,True,6,Mechanism typing: routing is never determined by diagnostic labels,
D0650,supported at high confidence,the two equilibria,count,True,,,
D0650,supported at high confidence,the two targets,count,True,,,
D0653,supported at high confidence,Theorem 12,theorem,True,5,No interior rest at positive effort,
D0654,supported at high confidence,the two fields,count,True,,,
D0655,signposting: asserts nothing,Theorem 14,theorem,True,6,Integrable extraction,
D0655,signposting: asserts nothing,the two fields,count,True,,,
D0656,supported at high confidence,Theorem 14,theorem,True,4,Integrable extraction,
D0656,supported at high confidence,the two systems,count,True,,,
D0656,supported at high confidence,the two fields,count,True,,,
D0682,supported at high confidence,§2,section,True,3,The Typed Primitive Ledger,
D0686,supported at high confidence,§1.1,section,True,1,Failure modes and the two confusions,
D0689,supported at high confidence,§1.1,section,True,4,Failure modes and the two confusions,
D0698,supported at high confidence,§6.5.2,section,True,0,The applied depletion-horizon tables,
D0699,supported at high confidence,§6.5,section,True,5,Application classifications at their exact status,
D0700,supported at high confidence,§9,section,True,0,The Interface with Institutional Delay Dynamics,
D0701,supported at high confidence,§2.4,section,True,1,The four-stock resource–sink–nutrient–product system,
D0715,supported at high confidence,§1.1,section,True,2,Failure modes and the two confusions,
