id,class,occurrences,deposit_evidence,why,disposition
D0331,reserved-operator,1,"u_{\partial}(t) + d_x(t), \qquad v \ge 0, \tag{1}$$ where $S_{\mathcal{T}}$ is the typed stoichiometric (incidence) operator, $y$ collects the declared boundary states — ",the deposited article calls it $S_{\mathcal{T}}$ and reserves plain $S$ for the moiety readout $S_m,"normalize the span to $S_{\mathcal{T}}$, or regenerate the row"
D0611,renamed-object-H,1,"**Definition 4 (Local net-depletion ratio).** $$H_A^{\mathrm{loc}}(t) = \frac{A(t) - A_{\min}}{\bigl[ -\dot A(t) \bigr]_+},$$ *with the extended-real convention $H_A^{\ma",the article defines $H_A^{\mathrm{loc}}$ and $H_A^{\mathrm{gross}}$ and never uses $\mathcal{H}$,"strip the $\mathcal$, or regenerate the row"
D0693,reserved-operator,1,"u_{\partial}(t) + d_x(t), \qquad v \ge 0, \tag{1}$$ where $S_{\mathcal{T}}$ is the typed stoichiometric (incidence) operator, $y$ collects the declared boundary states — ",the deposited article calls it $S_{\mathcal{T}}$ and reserves plain $S$ for the moiety readout $S_m,"normalize the span to $S_{\mathcal{T}}$, or regenerate the row"
D0201,reserved-operator,1,"u_{\partial}(t) + d_x(t), \qquad v \ge 0, \tag{1}$$ where $S_{\mathcal{T}}$ is the typed stoichiometric (incidence) operator, $y$ collects the declared boundary states — ",the deposited article calls it $S_{\mathcal{T}}$ and reserves plain $S$ for the moiety readout $S_m,"normalize the span to $S_{\mathcal{T}}$, or regenerate the row"
D0310,reserved-operator,1,"u_{\partial}(t) + d_x(t), \qquad v \ge 0, \tag{1}$$ where $S_{\mathcal{T}}$ is the typed stoichiometric (incidence) operator, $y$ collects the declared boundary states — ",the deposited article calls it $S_{\mathcal{T}}$ and reserves plain $S$ for the moiety readout $S_m,"normalize the span to $S_{\mathcal{T}}$, or regenerate the row"
D0565,colliding-decoration-B,1,"and a declared demand set $\mathcal{D}(t)$,* $$\mathcal{B}(x,t) = \{ \mathcal{O}(x,u,\theta) - d : u \in \mathcal{U}(x,t),\ d \in \mathcal{D}(t) \}.$$ The geometry of the","the article writes $B_{\lim}$, and keeps $\mathcal{B}(x,t)$ for the attainable-balance domain","strip the $\mathcal$, or regenerate the row"
D0565,renamed-object-H,1,"**Definition 4 (Local net-depletion ratio).** $$H_A^{\mathrm{loc}}(t) = \frac{A(t) - A_{\min}}{\bigl[ -\dot A(t) \bigr]_+},$$ *with the extended-real convention $H_A^{\ma",the article defines $H_A^{\mathrm{loc}}$ and $H_A^{\mathrm{gross}}$ and never uses $\mathcal{H}$,"strip the $\mathcal$, or regenerate the row"
D0561,colliding-decoration-B,2,"and a declared demand set $\mathcal{D}(t)$,* $$\mathcal{B}(x,t) = \{ \mathcal{O}(x,u,\theta) - d : u \in \mathcal{U}(x,t),\ d \in \mathcal{D}(t) \}.$$ The geometry of the","the article writes $B_{\lim}$, and keeps $\mathcal{B}(x,t)$ for the attainable-balance domain","strip the $\mathcal$, or regenerate the row"
D0415,dropped-font,1,"times with left and right limits at events.* *(H2) $\dot \chi = \mathsf{S}\eta + b$ with $\eta \ge 0$, separate reverse columns, and donor-limited negative boundary flows",the hypothesis in the deposited article reads $\dot\chi = \mathsf{S}\eta + b$,"restore $\mathsf{S}$, or regenerate the row"
D0486,renamed-object-H,1,"**Definition 4 (Local net-depletion ratio).** $$H_A^{\mathrm{loc}}(t) = \frac{A(t) - A_{\min}}{\bigl[ -\dot A(t) \bigr]_+},$$ *with the extended-real convention $H_A^{\ma",the article defines $H_A^{\mathrm{loc}}$ and $H_A^{\mathrm{gross}}$ and never uses $\mathcal{H}$,"strip the $\mathcal$, or regenerate the row"
