action_id,source,action_type,title,target,priority,status,dependencies,completion_evidence,notes
D-A001-05,A001,integration_decision,Maintain both one-paper-plus-supplement and two-paper-minimum designs,publication architecture,high,completed,,research_program/revised_optimal_publication_architecture_A001_A025.md,Historical one/two-paper designs superseded by full-corpus five-paper minimum architecture.
B-A001-04,A001,bridge,Recovery versus transformation,Operator I/II interface,high,open,,,Treat emergency-envelope capture as within-architecture recovery; connect but do not equate it with Operator II.
V-A001-02,A001,verification,Verify strong robust invariance assumptions in tangency theorem,Theorem 4.5,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-03,A001,verification,Correct all-trajectories wording in order-minimal proof while preserving existential result,Theorem 6.1,high,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-04,A001,verification,Correct pollution-feedback comparison sign,Theorem 6.6(b),high,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-05,A001,verification,Remove or qualify claim that every larger consumption preserves capital kernel,Lemma 7.1,high,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-06,A001,verification,Verify generic non-polyhedrality/transversality argument or demote to conjecture,Proposition 10.1,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-07,A001,verification,Verify Rosen DSC conditions for heterogeneous damage functions or restrict theorem,Lemma 12.1,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-08,A001,verification,Define H_safe and sufficient drift conditions precisely,Theorem 12.2,high,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-09,A001,verification,Reconcile quota aggregate with minimum harvest/output floor,Corollary 12.1,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-10,A001,verification,Add below-quota conditions or weaken unique-best-response claim,Theorem 13.3,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-11,A001,verification,"Audit Ostrom sufficiency, constructed necessity, and open individual-necessity wording",Theorems 13.5–13.6 and Conjecture 18.3,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A001-12,A001,verification,Clarify implementation-lattice order property; arbitrary contraction may destroy viability,Proposition 13.1,critical,completed,,revised_articles/A001_viability_theory_corrected.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
D-GLOBAL-01,GLOBAL,manuscript_policy,Prohibit AI references outside the AI declaration section,all manuscripts,critical,completed,,Revised manuscript scanned; only §31 AI declaration contains AI references,"AI-assisted workflow remains backstage in research-program records, not manuscript exposition."
D-A002-05,A002,integration_decision,Keep architecture transformation as master Operator II; do not equate it with capture,Operator I/II,critical,active,B-A002-04,,
B-A002-04,A002,bridge,Capture versus transformation,Operator I/II,high,open,,,Retain capture within architecture; connect to but distinguish from Operator II.
B-A002-08,A002,bridge,Recoverability alignment,recovery module,high,open,,,Use A002 capture definition with A001 emergency-envelope nontriviality theorem.
I-A002-07,A002,implementation,Integrate capture and policy-relative irreversibility,recovery and transformation interface,high,blocked,B-A002-04;B-A002-08,,
X-A001-A002-03,A001+A002,cross_article_bridge,"Unify capture, emergency envelopes, informational recovery, and irreversibility",recovery module,high,open,B-A001-04;B-A002-08,,
V-A003-09,A003,verification,Refine structured-persistence conjecture by dynamical class and fold nondegeneracy,structured persistence conjecture,critical,completed,,revised_articles/A003_institutional_feedback_corrected.tex,"Implemented as corrected model definition, admission condition, or status qualification; empirical calibration and references remain separate."
V-A003-13,A003,verification,Preserve claim status: no Hopf/fold/SNPO/empirical result is verified by this source alone,entire article,critical,completed,,revised_articles/A003_institutional_feedback_corrected.tex,"Implemented as corrected model definition, admission condition, or status qualification; empirical calibration and references remain separate."
B-A003-04,A003,bridge,Merge structured-persistence conjecture with Article 002 periodic-fold conjecture,conjecture registry,high,blocked,V-A003-09;V-A003-10,,
V-A005-07,A005,verification,Add donor/recipient capacity and nonnegative-invariance conditions,physical admissibility,critical,completed,,revised_articles/A005_groundwater_module_corrected.tex,"Implemented as corrected model definition, admission condition, or status qualification; empirical calibration and references remain separate."
V-A005-15,A005,verification,Add groundwater-domain references and qualify GRACE/G3P spatial claims,references,high,open,,,
