registry_id,scope,concept_or_conflict,source_forms,canonical_form,decision,status,blocking_dependency
NV-001,GLOBAL,frozen specification,"Omega also used as information prior","Omega","Reserve Omega for frozen specification; rename information prior to B0 or declared belief set",resolved,TCS-1.0
NV-002,GLOBAL,architecture,"A; mathcal A; canonical tuple S","frak A_q","Use frak A_q for architecture realization; local A remains productive capital only",resolved,TCS-1.0
NV-003,GLOBAL,physical state,"x; z; histories; fields","z_q with typed blocks and declared phase space","Use z_q at interfaces; retain x or x_t locally with explicit map",resolved,TCS-1.0
NV-004,GLOBAL,safe/admissible set,"K; V; V_Omega","K_{q,Omega}","Use K_{q,Omega} globally; local V allowed only with bridge; never confuse A001 sink burden K",resolved,TCS-1.0
NV-005,GLOBAL,action,"u; command c; prescription; realized pressure p","u_cmd and u_real","Separate prescription/command from realized action through implementation map I_q",resolved,TCS-1.0
NV-006,GLOBAL,disturbance,"d in D; w in W; Delta","w in W_q or strategy delta in Delta_q","Use w for point disturbance and Delta_q for declared disturbance/strategy class",resolved,TCS-1.0
NV-007,GLOBAL,observation_assessment_service,"O; A; Gamma; service observation","O_q; B_q; S_q","Observation O_q, assessment/filter B_q, service/readout S_q; do not reuse A_q for assessment",resolved,TCS-1.0
NV-008,GLOBAL,policy_implementation,"P; institution I; reset R","P_q; I_q; R_qe","Policy class P_q, implementation I_q, event reset R_qe",resolved,TCS-1.0
NV-009,GLOBAL,ledger,"S stoichiometry; stock S; B incidence","L_q with local N and B_partial","Ledger object L_q; local matrices must be declared and unit-typed",resolved,TCS-1.0
NV-010,A001-A002,viability hierarchy,"Viab; RViab; EViab; ERViab; IRViab","controlled/robust/epistemic/institutional judgments","Names are retained only with quantifier, information, horizon, safe-set, and policy/disturbance signatures",resolved,P-CORE-02 row-level theorem audit
NV-011,A011-A020,decision clock,"tau delay; h review interval; sampling period","tau for physical/institutional delay; h for review interval","No numerical or theorem transfer between tau and h without a sampled-to-delay bridge",resolved,sampled/RFDE interface proof
NV-012,A012-A020,gated versus ungated effort,"M3-U; M3-B; gated/ungated C3/C4","model_version_id required","No coefficient, equilibrium, Hopf, fold, or Floquet result crosses a gate variant without explicit derivation",resolved,per-row model version assignment
NV-013,A018,closure variants,"C3; C4; C5; working; QSS; primitive closed ledger","C3-v*; C4-v*; C5-v* plus closure tag","Every equation/result receives family, closure, gate, donor, and parameter-version tags",active,A018 exact model-version table
NV-014,A018-A019,material pools,"active; geological; detritus; target variants","typed pool vector x_mat with named components","Component order, units, boundary status, donor limits, and target semantics must be exported by ledger interface",active,A018 ledger-to-dynamics seam
NV-015,A018-A021,Liebig service and yield gap,"smooth minimum; binding/slack; G f g","S_Liebig and declared gap map G","No A021 concrete coupling until unique source-derived or declared G,f,g and projection map exist",open,A021 coupling gate
NV-016,A022-A023,stage parameter g,"g used as rate or timescale","g_stage is timescale; rate=1/g_stage","All modal coefficients and equilibria must use the same hashed parameter version",resolved,V-A022-04 artifact/version reconciliation
NV-017,A022-A023,stage equilibrium versions,"conflicting equilibrium values","stage_model_version_id","Do not merge outputs until equation, parameter, code, and equilibrium hashes agree",open,V-A022-04
NV-018,A023,spatial coefficient reuse,"C_E from stale variants","C_E[model_version_id]","No cross-variant coefficient transfer without derivation",open,V-A023-05
NV-019,A024,depletion times,"T_dep; proxy first-passage times; pressure horizons","T_model; T_proxy; T_pressure","Keep model-generated, data-fitted, and scenario horizons distinct",resolved,TCS-1.0
NV-020,A025,validation language,"continuation turning point; fold; interval Hopf; continuous DDE fold","status-qualified certificate labels","Use continuation evidence, discrete certificate, and continuous-DDE certificate as separate statuses",resolved,A025 certification hierarchy
NV-021,GLOBAL,evidence version,"source-stated; corrected; independently reproduced","claim_version_id and artifact_version_id","Status and artifact completeness are separate; integration cannot promote either",resolved,TCS-1.0
NV-022,GLOBAL,canonical mapping,"specialization; projection; approximation; analogy","TCS-1.0 mapping vocabulary","Every bridge uses exactly one primary mapping type and explicit error/status",resolved,TCS-1.0
