id,ratio,kind,draft_span,deposit_span
D0656,0.96,script,A_{\mathrm{act}},A^{\mathrm{act}}/(A^{\mathrm{act}}+A_0)
D0404,0.955,script,N^*>0,N_* > 0
D0404,0.955,deco,\mathsf R_{\mathrm{ext}},\mathcal{R}_{\mathrm{ext}}
D0399,0.944,absent,"(N^*,A_{\mathrm{act}}{}^*)=(89.526,\,397.87)","(N^*, A^{\mathrm{act}*}) = (89.526, 397.87)"
D0654,0.94,script,"e_{GA}-e_{AG}=\omega_A(A_{\mathrm{eq,intrinsic}}-A_{\mathrm{act},*})\approx-0.348","e_{GA} - e_{AG} = \omega_A(A^{\mathrm{eq,intrinsic}} - A^{\mathrm{act,*}}) \approx -0.348"
D0236,0.933,script,N+A_{\mathrm{act}}+A_{\mathrm{geo}}+U+P+W+I,N + A^{\mathrm{act}} + A^{\mathrm{geo}} + U + P + W + I
D0572,0.933,absent,\mu=\hat\mu<0,\mu = \widehat\mu < 0
D0649,0.929,script,"A_{\mathrm{eq,intrinsic}}","e_{GA} = \omega_A A^{\mathrm{eq,intrinsic}} \sigma, \qquad e_{AG} = \omega_A A^{\mathrm{act}}, \qquad C^{A,\mathrm{lim}} = C^A \sigma, \qquad \gamma_U U \ \text"
D0649,0.929,script,"A_{\mathrm{eq},W}=A_{\mathrm{eq,intrinsic}}+\kappa_AK/\omega_A","A^{\mathrm{eq,W}} = A^{\mathrm{eq,intrinsic}} + \kappa_A K/\omega_A"
D0265,0.928,absent,"\{\mathsf S\ge \mathsf S_{\min},\,0\le K\le K_{\max}\}","\{S \ge S_{\min},\ 0 \le K \le K_{\max}\}"
D0331,0.925,absent,\ell^{\top}S^{\top}=0,\ell^\top S_{\mathcal{T}} = 0
D0384,0.925,deco,\tfrac{d}{dt}\mathbb 1^{\top}z=0,\frac{d}{dt}\mathbf{1}^\top z = 0
D0611,0.924,absent,\mathcal H^{\mathrm{gross}}_A,H_A^{\mathrm{gross}}
D0373,0.905,script,"\dot M=-(1-\alpha)qEN-C_{A,\mathrm{lim}}","\dot M = -(1-\alpha)qEN - C^{A,\mathrm{lim}}"
D0396,0.809,script,E\equiv E^*>0,E \equiv E_* > 0
D0453,0.8,absent,\hat M,\widehat{M}
D0469,0.79,absent,"J^{\mathrm{gross}}_A=g(X,A)/A","J_A^{\mathrm{gross}} = g(X,A)/A"
D0469,0.79,absent,"H^{\mathrm{gross}}_A=(A-A_{\min})/g(X,A)","H_A^{\mathrm{gross}} = (A - A_{\min})/g(X,A)"
D0638,0.77,script,C_A=0,C^A = 0
D0650,0.76,script,"A_{\mathrm{eq,intrinsic}}=50","A^{\mathrm{eq,intrinsic}} = 50"
D0650,0.76,script,"A_{\mathrm{act},*}=397.87","A^{\mathrm{act,*}} = 397.87"
D0650,0.76,absent,"A_{\mathrm{eq},W}=50+\kappa_AK/\omega_A=5{,}050","A^{\mathrm{eq,W}} = 50 + \kappa_A K/\omega_A = 5050"
D0650,0.76,script,A_{\mathrm{act}},A^{\mathrm{act}}/(A^{\mathrm{act}}+A_0)
D0650,0.76,script,"(N,A_{\mathrm{act}},U)","(N, A^{\mathrm{act}}, U)"
D0693,0.724,absent,S^{\top},c_m^\top
D0354,0.719,absent,S(t)>\underline B,\underline{B}_m
D0354,0.719,absent,S(0)>\underline B,\underline{B}_m
D0201,0.715,absent,S^{\top},c_m^\top
D0310,0.707,absent,\ell^{\top}S^{\top}=0,\ell^\top S_{\mathcal{T}} = 0
D0355,0.702,absent,\tau_{\underline B}=\inf\{t\ge0:S(t)\le\underline B\}\le\dfrac{S(0)-\underline B}{\varepsilon},\tau_B = \inf\{ t \ge 0 : S(t) \le B \} \le \frac{S(0) - B}{\varepsilon}.
D0565,0.69,absent,\mathcal H^{\mathrm{loc}}_{\mathcal B}=(\mathcal B-\mathcal B_{\mathrm{lim}})/[-\dot{\mathcal B}]_+,H_B^{\mathrm{loc}} = (B - B_{\lim})/[-\dot B]_+
D0565,0.69,deco,\dot{\mathcal B},\dot B
D0408,0.685,absent,"\int_0^\infty(qE(s)N(s)+C_{A,\mathrm{lim}}(s))\,ds\le M(0)","\int_0^\infty \bigl( qE(s)N(s) + C^{A,\mathrm{lim}}(s) \bigr) ds \le M(0)"
D0561,0.684,absent,\mathcal B_{\mathrm{lim}}=0.2\max\mathrm{SSB},B_{\lim} = 0.2 \max \mathrm{SSB}
D0561,0.684,absent,\mathrm{SSB}_{\mathrm{now}}>\mathcal B_{\mathrm{lim}},\mathrm{SSB}_{\mathrm{now}} > B_{\lim}
D0206,0.663,script,"x_L=(N,A_{\mathrm{act}},A_{\mathrm{geo}},U)","x_L = (N, A^{\mathrm{act}}, A^{\mathrm{geo}}, U), \qquad s = \frac{A^{\mathrm{act}}}{A^{\mathrm{act}} + A_0}, \qquad \sigma = \frac{A^{\mathrm{geo}}}{A^{\mathrm"
D0206,0.663,script,A_{\mathrm{act}},A^{\mathrm{act}}/(A^{\mathrm{act}}+A_0)
D0206,0.663,script,A_{\mathrm{geo}},A^{\mathrm{geo}}/(A^{\mathrm{geo}}+A_{g0})
D0682,0.66,absent,w\in\mathbb R^m_+,x \in \mathbb{R}^m_+
D0682,0.66,absent,"b=O(x,u,\theta)-d","b = \mathcal{O}(x,u,\theta) - d"
D0415,0.652,absent,\dot\chi=S\eta+b,\dot \chi = \mathsf{S}\eta + b
D0415,0.652,script,L^{\top}S=0,\mathsf{L}^\top \mathsf{S} = 0
D0651,0.615,deco,\gamma_UU=\mathcal T^*\approx4.47,\gamma_U U = T^* \approx 4.47
D0651,0.615,deco,\kappa_AK=\mathbf{5.000},\kappa_A K = 5.000
D0402,0.581,deco,\mathsf R_{\mathrm{ext}},\mathcal{R}_{\mathrm{ext}}
D0402,0.581,deco,\mathsf R_K,\mathcal{R}_K
D0402,0.581,deco,\mathsf R_{\mathrm{frozen}},\mathcal{R}_{\mathrm{frozen}}
