historical_family,source_versions,current_destination,status,notes
Foundational ambition,"v0.1;v0.2;early master","Abstract; §§1,30A,33",preserved,"Candidate theory not universal law"
Ontology and identity,"v0.1;v0.2","§§4-6",preserved,"Typed and prospectively frozen"
Stock flow capacity load buffer,"v0.1;v0.2","§§13-15",preserved,"Conditional rather than universal"
Causal closure,"v0.1;v0.2","§9",superseded_correctly,"Replaced by property-relative boundary adequacy"
Dependency recursion and scale,"v0.1;v0.2","§10",preserved,"Typed hypergraph and scale lattice"
Commons and diffuse burden,"architectural audits","§11",preserved,"Aggregate and actor allocation"
Viability and action policy,"v0.1;audits","§§5.3,7.1",preserved_corrected,"Causal policies separated from actions"
Recovery,"early master;A001","§§8.8-8.8A",restored,"Emergency-envelope impossibility bridge"
Transformation,"architectural audits","§§8.1-8.9",preserved_expanded,"Architecture graph and fixed-review theorem"
Observation and hidden modes,"early master;A001;A002","§7.1A",restored,"Fibre theorem and counterexample"
Observer safety margin,"A001;A006","§7.1A",restored,"Error erosion certificate"
Substitution,"early master;A001;A002;A013","§6.5A;§19A",restored,"CES Farkas and directional support"
Composition,"early master;A001;A002","§§12.8-12.9",restored,"Theorem plus three examples"
Cascade networks,A001,"formal supplement S4",restored_supplement,"Unique network theorem family"
Projectability,A002,"§18C",restored,"Exact reduction fibre criterion"
Coarse graining,A002,"formal supplement S5",restored_supplement,"Variance covariance and curvature"
Intergenerational,A001,"§17.5",restored,"Nested impossibility and discounting counterexample"
Stochastic viability,A001,"formal supplement S6",restored_supplement,"Finite horizon and horizon split"
Dynamic margins,A001,"§7.5",restored,"Viability value and intervention cost"
Failure taxonomy,A007,"§24.1",restored,"Ten typed failure classes"
Accounting applications,A013,"§19A.1",restored,"G3P phosphate and fisheries labels"
Groundwater and phosphorus,A004-A005,"§30.0B; corrected sources",delegated,"Calibration remains open"
Nonlinear dynamics,A003;A011;A012,"§23B; A012 separate",delegated,"Evidence status preserved"
Certificates and diagnostic,"v0.1;v0.2","§§24-29",preserved,"Maturity and proof obligations expanded"
AI and theory workflow,"v0.1;v0.2;AUDIT006","research_program_integration_protocol.md",intentionally_backstage,"Only concise declaration remains in manuscript"
Place-based knowledge engagement,AUDIT006,"research_program_integration_protocol.md",preserved_backstage,"Provenance participation and consent gate"
Irreducible uncertainty,"v0.1;v0.2","§32 limitation 17",restored,"Verdicts remain conditional and revisable"
