# alias,replacement,scope,gem_s1,deposit,v48,rule
# "the adaptation's §1, re-pointed at the deposit's vocabulary" - the explicit, logged edit the author asked for.
# Applied to the BASE (the gemini half of uploads/p3 humanized.txt) before it is adopted, never to the output, and each
# substitution recorded in v49_term_revert_log.json with the line it came from, so reverted terms and adaptation terms
# cannot mix silently. gem_s1/deposit/v48 are counts computed by term_revert_candidates.json (grep -cF, whole file
# except gem_s1 which is Section 1 of the adaptation only).
# rule: 'force' = G5 fails the build if the alias survives; 'watch' = reported, not blocking; 'label' = the framing
# the author cut, kept out of the build entirely (G4).
gross extraction timescale,removals-only pressure scale,force,1,4,4,deposit uses 'removals-only pressure scale' (4x); the alias names a different object
reserve-life quotient,reserve-life ratio,force,1,12,13,the ratio is the defined object in the notation table and in 2.1 onward
time to exhaustion,time to depletion,force,1,5,4,'time to depletion' is the phrase the paper's three-way split is named by
pressure metric,pressure scale,force,2,7,7,'pressure scale, not a depletion diagnostic' is a status label of the ledger
stock-depletion ratio,stock ratio,watch,1,3,3,compounds two terms; keep unless the deposit's own phrase is available
physical depletion forecast,arithmetic and not a forecast,watch,1,1,1,'arithmetic, not a forecast' is one of the four KEEP labels
statistic index,statistical index,force,0,5,5,only fires if the adaptation's spelling survives the merge
hollowed out,liquidated silently,force,1,0,0,deposit writes 'liquidated silently'; the alias is the adaptation's image
Arithmetic Level,,label,1,0,0,cut by the author: the deposit's words are 'The first is arithmetic and is the compensatory-aggregation failure above'
Dynamical Level,,label,1,0,0,cut by the author: the deposit writes 'The second sense is dynamical and is yield inflation'
engineered to capture,,label,1,0,0,P0 invented assertion from review/joint_evaluation_v1.md; never in the base
artificially thresholded,,label,1,0,0,P0 invented assertion
satellite-derived masks,,label,1,0,0,P0 invented assertion
Routing is determined by,,label,1,0,0,P0 invented mechanism: the deposit's own heading is "Mechanism typing: routing is never determined by diagnostic labels" (work/paper3.txt:596)
