id,system,domain,c1_responsive,c2_dateable_lag,c3_no_competing_driver,c4_individual_data,binding_fail,evidence
1,Baltic sprat (SPRAT22-32 EU MAP),fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC responsive; variance is low-frequency trend/regime (no robust cycle); tau-window screen row; RAM SSB series"
2,European anchovy Adriatic (GFCM MAP),fisheries,no,. ,. ,. ,i,"2022-2026 fixed predetermined reduction path: no deficit feedback (GFCM/44/2021/20; GFCM/48/2025/2)"
3,European anchovy Bay of Biscay,fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC; recruitment/environment-driven variability; closed 2005-2009"
4,Peruvian anchoveta,fisheries,yes,yes (sub-annual),no,yes,iii,"ENSO driver: 3.7-yr peak Granger-caused by ENSO (section 3.7 battery)"
5,Pacific sardine (US/Mexico),fisheries,yes,yes (~0.5-1 yr),no,yes,iii,"Annual HCR; environmentally forced regime variability"
6,Atlantic menhaden (ASMFC),fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual quota; environmentally forced recruitment variability"
7,Gulf menhaden (GSMFC),fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual quota (5-state commission); environmentally forced variability"
8,North Sea herring (ICES),fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC; recruitment/climate confounds"
9,Atlanto-Scandian herring,fisheries,no,. ,. ,. ,i,"Coastal-state sharing deadlock since ~2014; unilateral quotas above advice: coordination failure not a rule"
10,NE Atlantic mackerel / blue whiting,fisheries,no,. ,. ,. ,i,"Coastal-state deadlock (MSC suspended 2019-2020): no operative responsive rule"
11,Iberian sardine (PT/ES),fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC + rebuilding measures; environmentally forced variability"
12,South Africa anchovy/sardine (OMP),fisheries,yes,yes (~1-1.5 yr TAC),no,yes,iii,"Annual TAC within OMP (rule review 4-5 yr is not effort-response lag); environmentally forced"
13,Namibian sardine/anchovy,fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC; environmentally forced variability"
14,Chilean anchovy / jack mackerel,fisheries,yes,yes (~1 yr),no,yes,iii,"Annual TAC + seasonal management; environmentally forced variability"
15,Japanese sardine,fisheries,yes,yes (~1 yr),no,yes,iii,"Annual TAC; regime-shift-driven variability"
16,West African sardinella,fisheries,no,no,. ,. ,"i,ii","Annual TACs exist but enforcement/implementation weak and irregular (CECAF): no dateable responsive lag"
17,NZ QMS pelagics,fisheries,no,. ,. ,. ,i,"TACs held between sparse 3-10 yr assessments (57% never changed): discontinuous not delayed-continuous (Mace et al. 2013/2014)"
18,Barents / Icelandic capelin,fisheries,yes,yes (<1-1 yr),no,yes,iii,"Annual quotas + in-season surveys; dynamics cod-driven/environmentally forced"
19,North Sea sandeel,fisheries,yes,yes (~1-1.5 yr),no,yes,iii,"Annual TAC seasonal; environmentally forced + seabird-driven closures"
20,India/Philippines/Indonesia small pelagics,fisheries,no,. ,. ,. ,i,"No TAC; seasonal closures/mesh regulations only: fails responsive-feedback criterion"
21,Icelandic cod (1995 HCR),fisheries,yes,yes (0.2-0.3 yr impl. lag),no,yes,iii,"25% HCR responsive; cohort resonance alternative (section 3.7/S4); post-rule SSB CV 0.387 (audit-confirmed)"
22,Icelandic haddock (2013 HCR),fisheries,yes,yes (~1 yr TAC cycle),no,yes,iii,"35%-of-B45cm+ HCR adopted Apr 2013 (Iceland govt); recruitment-forced variability (R CV 0.89)"
23,Sheridan-6 groundwater,groundwater,no,. ,. ,yes,i,"55 acre-inch block allocation over five-year first period: not continuously adjusted feedback (S4)"
24,Bangkok groundwater,groundwater,yes,yes (post-1999 response),no,yes,iii,"Pumping declines after 1999 but subsidence/recovery confounded by heterogeneous consolidation + rainfall (S4)"
25,La Mancha Oriental groundwater,groundwater,.,.,no,.,iii,"2019-2023 extraction relapse; attribution complicated by crops/ET/surface-water substitution (S4)"
26,Murray-Darling surface water,surface_water,yes,yes (annual announcements),no,yes,iii,"Allocations responsive to storage/inflows (SA DEW; BoM NWA 2024) but availability is rainfall-driven: climate confound"
27,US BLM rangeland grazing,rangeland,partial,no,. ,.,ii,"Responsive adjustments only via recent flexibility pilots (IM 2018-109; outcome-based grazing); historically rigid permits with NEPA-gated irregular lags: no dateable response lag"
28,Scandinavian moose harvest,wildlife,yes,yes (annual/3-5 yr plans),no,yes,iii,"Responsive quotas (SE annual county; NO 3-5 yr plans) but recruitment climate-driven (hot dry springs/snow) + wolf predation confounds"
29,Norwegian salmon aquaculture (TLS),aquaculture,yes,yes (dated evaluations 2017+),no,yes,iii,"Biomass responsive to lice-induced wild-smolt mortality (TLS 13 areas) but lice signal biologically/environmentally forced + farm economics joint: institutional channel not isolated"
30,Spruce budworm forestry,forestry,no,. ,. ,.,i,"30-40 yr cycle is endogenous predator-prey outbreak dynamics (Ludwig Jones Holling 1978): no institutional feedback at all"
31,Hog/livestock cycles,produced_capital,.,.,.,.,scope,"Unconfounded delay oscillators but no autonomously regenerating stock: outside the resource-model scope (section 3.7/S4)"
32,Electricity-capacity cycles,produced_capital,.,.,.,.,scope,"Unconfounded delay oscillators but no autonomously regenerating stock: outside the resource-model scope (section 3.7/S4)"
