id,why_reused,section,flag_count,flags,draft_sentence,nearest_deposit_sentence,ratio,disposition
D0077,signposting: asserts nothing,1.1,2,"status: the sentence says ""non-example"" of this object; the deposit passage does not use that label here | voice: first person (our, our terms) where the sentence's own deposit sentence has none - the draft runs 0.3 instances per 1k words against the deposited article’s 0.1, so this is register, not error, unless the verb attached to it is stronger than the deposit’s","It is a **non-example** in our terms, not a result: the intuition that a huge deposit is therefore safe is not a claim the ledger can even state, because size and recoverability are quantities of different kinds.","Conservation (Theorems 7–9) and positivity (Theorems 10–11) are proved separately in every well-posed ledger of this article, exactly because cancellation is cheap and admissibility is not.",0.402,
D0357,supported at high confidence,,1,"universal: ""all"" appears in the sentence and not in the passage behind it","The uniform-margin assumption is doing all the work, and its absence is the classical failure mode.","The uniform-margin assumption is essential, and its absence is the classical failure mode.",0.885,
D0023,supported at high confidence,,1,"voice: first person (we) where the sentence's own deposit sentence has none - the draft runs 0.3 instances per 1k words against the deposited article’s 0.1, so this is register, not error, unless the verb attached to it is stronger than the deposit’s",Weak and strong sustainability turn out to be two regimes of one system: the test is whether the material cycle can be closed as fast as we use things.,"Weak and strong sustainability are two regimes of one system, distinguished by whether the material cycle closes at the rate of use.",0.767,
D0218,signposting: asserts nothing,,1,name: Author does not appear in the deposited article,"The pair is the registered object of the companion delay-dynamics analysis (Author, D., et al., *in review*; eq.","The pair is the registered object of the companion delay-dynamics analysis (Abaee, 2026a, doi:10.5281/zenodo.22554217; its eq.",0.765,
D0156,supported at high confidence,1.2,1,"universal: ""never"" appears in the sentence and not in the passage behind it","The reserve classification carries the same point: a horizon estimate built on reserves inherits the substitution and technology assumptions inside the classification, which is why it is read as a ratio, never as a forecast.","An exhaustion-horizon estimate built on a reserve figure carries the substitution and technology premises of the reserve classification, not a physical forecast.",0.608,
D0158,supported at high confidence,1.2,1,"universal: ""every"" appears in the sentence and not in the passage behind it","Its objects are typed ledgers in which conservation follows from the wiring, positivity follows from donor limitation, services are readings rather than conserved mass, and every depletion quantity carries its own classification, stated at its actual strength.","Conservation is proved from the incidence structure, not assumed; positivity is proved from donor limitation, not asserted; services are readouts, not mass; and depletion time is three quantities, not one.",0.522,
D0024,signposting: asserts nothing,,1,name: Finally does not appear in the deposited article,"Finally, an interface contract fixes the one object this article shares with work on delayed, reviewed institutions, so the two bodies of work cannot be confused.",7. **The interface with institutional dynamics.** The exact shared object with delay-based institutional models is the single-resource deficit identity $qEN - R = -\dot N$.,0.476,
D0089,signposting: asserts nothing,1.1,1,"universal: ""every"" appears in the sentence and not in the passage behind it","And ""the stock is large"" is not an available argument at all: size and recoverability are different kinds of quantity, and every depletion horizon in this article is stated against a rate and a barrier.",The three quantities answer different questions and must not share one depletion-horizon label:,0.4,
D0558,supported at high confidence,6.5.3,1,"status: the sentence says ""registered"" of this object; the deposit passage does not use that label here","Completing the re-pin — replacing the displayed rows row by row with the pinned vintage's per-country reserve figures — is the **registered open data action**; it requires the per-country MCS 2026 reserve table, and no displayed classification depends on it.",No stochastic completion of the ledger is claimed: the surrogate processes of Section 7 do not conserve the ledger's mass and are not perturbations of its dynamics.,0.399,
D0162,supported at high confidence,1.2,1,"universal: ""every"" appears in the sentence and not in the passage behind it","Every one-way transfer is donor-limited: it cannot exceed what its source holds. 2. **Three certification layers, separated and proved.** *(theorems; §3)* Accounting consistency (the balance law holds), conservation consistency (the declared moieties are invariant up to boundary flows) and barrier safety (the declared lower and upper barriers hold) are different predicates with different proof obligations.","But bookkeeping balance, stoichiometric conservation, thermodynamic admissibility, and sustainability safety are four different predicates, and the literature routinely slides between them.",0.342,
D0540,supported at high confidence,6.5.2,0,,"The cohort protocol is fully specified in the accompanying supplementary material (S5) — including the zero entries for stocks at or below the reference, which enter the median — together with the version-sensitivity record: on the public RAM Legacy releases the same protocol qualifies **415** stocks (v4.44, median **2.57** yr) and **454** (v4.66, median **3.39** yr) — both reproduced to printed precision under the recovered micro-specification (S5) — **neither reproducing the archived 43-stock cohort**: the archived pull's 43-stock list and extract-time series state — supplied and re-verified — differ from both public releases.","The cohort protocol is fully specified in the accompanying supplementary material (S5) — including the zero entries for stocks at or below the reference, which enter the median — together with the version-sensitivity record: on the public RAM Legacy releases the same protocol qualifies 415 stocks (v4.44, median $2.57$ yr) and 454 (v4.66, median $3.39$ yr) — both reproduced to printed precision under the recovered micro-specification (S5) — neither reproducing the archived 43-stock cohort — the archived pull's 43-stock list and extract-time series state — supplied and re-verified — differ from both public releases.",0.999,
D0521,supported at high confidence,6.5.1,0,,"An index built on it therefore cannot distinguish a drawdown of stored water that is recoverable on the recharge timescale from one that is not — although heavy over-extraction can make the loss permanent through compaction, subsidence or saline intrusion, in which case it is not recoverable at all.","An index built on it therefore cannot distinguish a drawdown of stored water that is recoverable on the recharge time scale from one that is not — although heavy over-extraction can make the loss permanent through compaction, subsidence, or saline intrusion, in which case it is not recoverable at all.",0.998,
D0719,supported at high confidence,11,0,,"For ecological-economics measurement, that is the closing statement: not rival doctrines but two readings of one ledger — and the vector reading is what carries the certificate.","For ecological-economics measurement, that is the closing statement: not rival doctrines but two readings of one ledger, and the vector reading is what carries the certificate.",0.997,
D0168,supported at high confidence,1.2,0,,"No identification of the two-pool groundwater hypothesis is claimed — its identification requirements are registered in Section 8, not discharged.","No identification of the two-pool groundwater hypothesis is claimed (its identification requirements are registered in Section 8, not discharged).",0.996,
D0543,supported at high confidence,6.5.2,0,,"They are descriptive, component-resolved diagnostics in the two-pool logic of the taxonomy — not dynamical predictions.","They are descriptive, component-resolved diagnostics in the two-pool logic of the taxonomy, not dynamical predictions.",0.996,
D0567,supported at high confidence,6.5.4,0,,The construction is retained specifically to show why an isolated gross-removal timescale must not be promoted to a net depletion diagnostic.,The construction is retained specifically to show why an isolated gross-removal time scale must not be promoted to a net depletion diagnostic.,0.996,
D0432,supported at high confidence,5,0,,"This distinction is the accounting counterpart of the ecological-economics point that a service flow — Ayres' useful-work reading, Daly's throughput-of-services reading — is not the same object as the mass that delivers it.","This distinction is the accounting counterpart of the ecological-economics point that a service flow (Ayres' useful-work reading, Daly's throughput-of-services reading) is not the same object as the mass that delivers it.",0.995,
D0451,supported at high confidence,,0,,"The provenance partition behind $\Gamma_{\mathrm{reg}}$ — renewable flow, recovered or recycled material, imports, non-renewable drawdown — never adds unlike physical units.","The provenance partition behind $\Gamma_{\mathrm{reg}}$ (renewable flow, recovered or recycled material, imports, non-renewable drawdown) never adds unlike physical units.",0.994,
D0249,supported at high confidence,2.3,0,,"If an application makes recovery claims, $U$ and $P$ must be split by material, location and quality grade, with declared yields, residual routes and exergy or capacity inputs; the conservation argument then applies to that expanded typed incidence system, not automatically to an undifferentiated quality-neutral loop.","If an application makes recovery claims, $U$ and $P$ must be split by material, location, and quality grade, with declared yields, residual routes, and exergy or capacity inputs — the conservation argument then applies to the expanded typed incidence system, not automatically to an undifferentiated quality-neutral loop.",0.993,
D0571,signposting: asserts nothing,7.1,0,,"That distinction is the entry discipline of this section: the surrogates below **do not compute the ledger's hitting time**, **do not complete the ledger stochastically**, and **do not identify physical failure thresholds**.","The distinction is the entry discipline of this section: the surrogates below do not compute the ledger's hitting time, do not complete the ledger stochastically, and do not identify physical failure thresholds.",0.993,
D0406,supported at high confidence,,0,,"The constitutive laws carry no basal mortality independent of the support factor; adding one ($\mu_{\mathrm{basal}}N$, stock → detritus) collapses the frozen-biomass face and does not touch Theorems 7–12 or 14.*","The constitutive laws carry no basal mortality independent of the support factor; adding one ($\mu_{\mathrm{basal}} N$, stock $\to$ detritus) collapses the frozen-biomass face and does not touch Theorems 7–12 or 14.*",0.992,
D0448,supported at high confidence,,0,,"Attainment requires closedness: if $\Gamma_{\mathrm{reg}}$ is not closed the supremum may not be attained, and the gap is relative to a supremal fraction, not necessarily to an achievable boundary service.","Attainment requires closedness: if $\Gamma_{\mathrm{reg}}$ is not closed the supremum may not be attained, and the gap is relative to a supremal fraction, not necessarily an achievable boundary service.",0.992,
D0563,supported at high confidence,6.5.4,0,,It is a **removals-only pressure timescale**: the time unit comes from rescaling a stock-reference margin by one isolated gross-loss rate.,It is a removals-only pressure time scale — the time unit comes from rescaling a stock-reference margin by one isolated gross-loss rate.,0.992,
D0284,supported at high confidence,2.5,0,,"Literally harvesting pre-recruit stages *is* a harvest of existing units, and routes to the product and waste fractions. 2.",Literally harvesting pre-recruit stages is a harvest of existing units and routes to the product and waste fractions.,0.991,
D0556,supported at high confidence,6.5.3,0,,"**The vintage is pinned once.** The single pinned source of record is the *Mineral Commodity Summaries* (MCS) 2026 (U.S. Geological Survey, 2026), and every figure this article quotes at pin status is that vintage's — the pinned source's 2025 world-production column ≈ 250,000 kt and Australia's reserves 120,000 kt (JORC-compliant).","The vintage is pinned once: the single pinned source of record is the Mineral Commodity Summaries (MCS) 2026 (U.S. Geological Survey, 2026), and every figure this article quotes at pin status is that vintage's — the pinned source's 2025 world-production column $\approx 250{,}000$ kt and Australia's reserves $120{,}000$ kt (JORC-compliant).",0.99,
D0242,supported at high confidence,2.3,0,,"For one conserved limiting material, the scaffold is instantiated by six compartments — living biomass $X$, detritus or recoverable residual $U$, active abiotic pool $A$, geological or slowly available pool $G$, product or in-use stock $P$, and absorbing or currently unavailable stock $W$ — with eight non-negative primitive fluxes: assimilation $g(X,A)$, mortality $m(X)$, harvest $h(X,E)$, decomposition $d_U(U)$, geological-to-active transfer $e_{GA}(G,A)$, active-to-geological transfer $e_{AG}(A,G)$, direct mining $c_G(G,E_G)$, and product retirement $r_P(P)$.","For one conserved limiting material, the accounting scaffold is instantiated by six compartments — living biomass $X$, detritus or recoverable residual $U$, active abiotic pool $A$, geological or slowly available pool $G$, product or in-use stock $P$, and absorbing or currently unavailable stock $W$ — with eight non-negative primitive fluxes: assimilation $g(X,A)$, mortality $m(X)$, harvest $h(X,E)$, decomposition $d_U(U)$, geological-to-active transfer $e_{GA}(G,A)$, active-to-geological transfer $e_{AG}(A,G)$, direct mining $c_G(G,E_G)$, and product retirement $r_P(P)$.",0.989,
D0353,supported at high confidence,3.5,0,,"The conservatism is visible in the extremes: maximal extraction $qE_{\max}K$ is realizable only at $N=K$, where regeneration vanishes, and maximal recharge coincides with minimal extraction — box extremes the coupled dynamics cannot realize jointly.","The conservatism is visible in the extremes: the maximal extraction $qE_{\max}K$ is realizable only at $N = K$, where regeneration vanishes, and maximal recharge coincides with minimal extraction — box extremes the coupled dynamics cannot realize jointly.",0.987,
D0362,supported at high confidence,3.6,0,,Exhaustion of a compartment requires one of: a boundary outflow; an irreversible conversion into an uncounted or unavailable form; destruction of the relevant function; or a barrier defined on a particular compartment rather than on the total moiety.,"Exhaustion of a compartment requires a boundary outflow, an irreversible conversion into an uncounted or unavailable form, destruction of the relevant function, or a barrier defined on a particular compartment rather than on the total moiety.",0.986,
D0473,supported at high confidence,6.1,0,,"This false-implication record is the first rung of the taxonomy, and it governs every application below.",This false-implication record is the first rung of the taxonomy and governs every application below.,0.985,
D0363,supported at high confidence,3.6,0,,"Whether ""exhaustion"" refers to the total conserved moiety, a compartment stock, an accessible or functional stock, a stock above a lower barrier, or an economically recoverable reserve — these are different quantities, and the theorem must specify which (§6.4).","Whether ""exhaustion"" refers to the total conserved moiety, a compartment stock, an accessible or functional stock, a stock above a lower barrier, or an economically recoverable reserve — these are different quantities, and the theorem must specify which (Section 6.4).",0.984,
D0155,supported at high confidence,1.2,0,,The scenario-conditioned hitting time of Section 6.5.2 exists to give that drift a horizon.,The scenario-conditioned hitting time of Section 6.5.2 exists to give the drift a horizon.,0.983,
D0167,signposting: asserts nothing,1.2,0,,No stochastic completion of the ledger is claimed: the surrogate processes of Section 7 do not conserve the ledger's mass and are not small perturbations of its dynamics.,No stochastic completion of the ledger is claimed: the surrogate processes of Section 7 do not conserve the ledger's mass and are not perturbations of its dynamics.,0.982,
D0238,supported at high confidence,2.2,0,,The full seven-compartment incidence is the nested completion of this four-block routing.,The full seven-compartment incidence is the nested completion of the four-block routing.,0.982,
D0427,supported at high confidence,4.9,0,,"The portrait is the source object handed to the interface of §9: the closed system's candidate long-time set is the rest set of Theorem 13, and the budget of Theorem 14 bounds how long any positive-flux configuration can persist.","The portrait is the source object handed to the interface of Section 9: the closed system's candidate long-time set is the rest set of Theorem 13, and the budget of Theorem 14 bounds how long any positive-flux configuration can persist.",0.982,
D0689,supported at high confidence,10.1,0,,In the terms of the ecological-economics literature of §1.1: componentwise adequacy on the typed ledger is **strong sustainability as a conjunctive predicate**; a positive weighted sum is **weak sustainability as a ranking device**.,"In the terms of the ecological-economics literature of Section 1.1, componentwise adequacy on the typed ledger is strong sustainability as a conjunctive predicate; a positive weighted sum is weak sustainability as a ranking device.",0.982,
D0391,supported at high confidence,4.4,0,,"**Theorem 11 (Forward invariance of the six-compartment cone).** *Under the donor boundary assumptions of §2.3 — each primitive flux vanishes when its donor is empty, fluxes continuous in effort and locally Lipschitz in the state — $\mathbb R^6_+$ is forward invariant for the six-compartment system.*","**Theorem 11 (Forward invariance of the six-compartment cone).** *Under the donor boundary assumptions of Section 2.3 (each primitive flux vanishes when its donor is empty, fluxes continuous in effort and locally Lipschitz in the state), $\mathbb{R}^6_+$ is forward invariant for the six-compartment system.*",0.98,
D0699,supported at high confidence,10.3,0,,The classification results of §6.5 are negative results stated as such: the anomaly index is not a stock ratio; the reserve-life ratio is not a forecast; the removals-only time is not a depletion diagnostic.,The classification results of Section 6.5 are negative results stated as such: the anomaly index is not a stock ratio; the reserve-life ratio is not a forecast; the removals-only time is not a depletion diagnostic.,0.98,
D0484,supported at high confidence,6.2,0,,"Its companion is the one-sided exhaustion proposition of §3.6, whose counterexample — proportional extraction never exhausts in finite time — shows that the uniform margin $\varepsilon>0$ is load-bearing in both directions.","Its companion is the one-sided exhaustion proposition of Section 3.6, whose counterexample — proportional extraction never exhausts in finite time — shows that the uniform margin $\varepsilon > 0$ is load-bearing in both directions.",0.977,
D0630,signposting: asserts nothing,8.3,0,,"That distinction is the extractor-side counterpart of the accounting discipline of §6: **instrument parameters and constraint thresholds are different objects, and no tax schedule substitutes for a constraint the ledger must satisfy.**","The distinction is the extractor-side counterpart of the accounting discipline of Section 6: instrument parameters and constraint thresholds are different objects, and no tax schedule substitutes for a constraint the ledger must satisfy.",0.976,
D0151,signposting: asserts nothing,1.2,0,,"The ledger keeps stock compartments first-class, and it supplies the thresholds, hitting times and sink constraints from which $B$ is derived.","The ledger keeps the stock compartments first-class and supplies the thresholds, hitting times, and sink constraints from which $B$ is derived.",0.974,
D0315,supported at high confidence,3.1,0,,"**The implication for industrial-ecology measurement.** Mass-balance closure, stoichiometric consistency and barrier compliance must each be audited separately.","The implication for industrial-ecology measurement is that mass-balance closure, stoichiometric consistency, and barrier compliance must each be audited separately.",0.974,
D0715,supported at high confidence,11,0,,"The weak and strong regimes of §1.1 are two readings of one typed stock–flow ledger, distinguished by whether the material cycle closes at the rate of use; that reading is developed once, in the introduction, and is not re-argued here.","The weak and strong regimes of Section 1.1 are two readings of one typed stock–flow ledger — distinguished by whether the material cycle closes at the rate of use; the reading is developed once, in the introduction, and is not re-argued here.",0.974,
D0510,supported at high confidence,6.5.1,0,,"The Global Gravity-based Groundwater Product (G3P v1.12; Güntner et al., 2024; the GRACE line it descends from is Tapley et al., 2004) provides monthly **groundwater-storage anomalies relative to a reference period**, not absolute aquifer volumes.","The Global Gravity-based Groundwater Product (G3P v1.12; Güntner et al., 2024; the GRACE line it descends from is Tapley et al., 2004) provides monthly groundwater-storage anomalies relative to a reference period rather than absolute aquifer volumes.",0.97,
D0600,supported at high confidence,7.5,0,,"The construction joins the removals-only classification of §6.5.4 — the same pure-decay process, now under a declared stochastic surrogate.","The construction joins the removals-only classification of Section 6.5.4 — the same pure-decay process, now under a declared stochastic surrogate.",0.97,
D0225,supported at high confidence,,0,,"With $A_0>0$ and $A_{g0}>0$ the right-hand side of (2) is locally Lipschitz on the closed orthant, and the comparison $\dot N\le rN(1-N/K)$, with $\dot N\le0$ once $N\ge K$, bounds the stock by $\max\{N(0),K\}$.","With $A_0 > 0$ and $A_{g0} > 0$ the right-hand side of (2) is locally Lipschitz on the closed orthant, and the comparison $\dot N \le rN(1 - N/K)$ (with $\dot N \le 0$ once $N \ge K$) bounds the stock by $\max\{N(0), K\}$.",0.968,
D0259,supported at high confidence,2.4,0,,"This balance is an exact specialization of the incidence discipline of §2.1: every internal transfer cancels in the column sum, and the boundary terms survive as the ledger's declared inputs and outputs.","This mass balance is an exact specialization of the incidence discipline of Section 2.1: every internal transfer cancels in the column sum, and the boundary terms survive as the ledger's declared inputs and outputs.",0.968,
D0520,supported at high confidence,6.5.1,0,,The anomaly series measures the stored stock as observed at the access point; it measures neither the access infrastructure nor the recharge.,The anomaly series is a measure of the stored stock as observed at the access point; it measures neither the access infrastructure nor the recharge.,0.968,
D0076,supported at high confidence,1.1,0,,Whether its drawdown is recoverable is a property of the rate.,Whether a drawdown is recoverable is a property of the rate.,0.967,
