id,verdict,confidence,draft_section,draft_sentence,dep_section,deposit_proposition,paired_via,overlap,char_ratio,block_overlap,flags,notes,adjudication
D0001,supported (reworded),low,,**Plain version.** Numbers that are supposed to tell us how soon a resource runs out are traded as if they were all the same kind of number.,1.1,"All three constructions return a number in years, and a number in years is not yet a time to any event—it is a quotient whose numerator and denominator were chosen for a question.",elsewhere in the deposit,0.129,0.174,0.111,,,
D0002,supported (reworded),low,,"A ""reserve life"" of 45 years, a groundwater trend index, and a fishing-pressure timescale are all read as ""years left"", but each one answers a different question.",,"Reserve-life ratios, trend-persistence indices, and removals-only pressure scales are read as ""time to depletion"" although each is constructed against a different question; compensatory aggregation hides a deficit behind a positive scalar.","aligned passage, weak",0.111,0.089,0.111,,the figure 45 is stated in the deposit but outside this passage,
D0003,supported (reworded),medium,,"A second problem is worse: when many different things are added together into a single score, one collapsing component can be hidden by another doing fine.",1.1,"The first is arithmetic and is the compensatory-aggregation failure above — a deficit in one component offset by a surplus in another, so that a positive aggregate reads as adequate.",elsewhere in the deposit,0.248,0.37,0.111,,,
D0004,not a claim (signposting),high,,This article builds a bookkeeping layer that refuses both.,1.1,This article builds the accounting layer that resists these failures.,elsewhere in the deposit,0.52,0.672,0.111,,"the sentence reports what the document does, not what the world does",
D0005,needs check: attribution,high,,"Each thing in the ledger has a material identity, a container with a boundary, and a unit.",1.2,"1. **A typed primitive-flux ledger.** Compartments carry a material identity, a boundary, and a unit.",elsewhere in the deposit,0.552,0.663,0.111,"needs check: attribution: the sentence this one restates cites Brunner & Rechberger, 2004; the draft dropped the source","polarity phrased differently (passage no negator, draft ['cannot', 'not'])",
D0006,supported (reworded),medium,,Nothing gets added to something else unless the conversion between them is written down.,,"Entries are added within a row only when their types and units agree; a conversion between types is represented by an explicit stoichiometric coefficient, never by an implicit sum.",elsewhere in the deposit,0.294,0.432,0.111,,,
D0007,supported (reworded),low,,"Because of how the containers and flows are wired together, mass cannot quietly appear or vanish.",,"Conservation follows from the incidence structure of the compartment–flux network; positivity from donor limitation (each primitive outflow vanishes when its donor is empty); services are readouts, not conserved mass.","aligned passage, weak",0.08,0.013,0.111,,,
D0008,supported (reworded),medium,,"Because every outflow is limited by how much its source holds, no stock goes negative.",2.1,A *compartment* is a spatial or functional location holding a stock.,elsewhere in the deposit,0.234,0.309,0.111,,,
D0009,not a claim (signposting),medium,,"Services — drinking water, crop yield, fish caught — are readings taken off the ledger, not substances flowing in it.",11,"For ecological-economics measurement, that is the closing statement: not rival doctrines but two readings of one ledger, and the vector reading is what carries the certificate.",elsewhere in the deposit,0.249,0.39,0.111,,"the sentence reports what the document does, not what the world does",
D0010,not a claim (signposting),medium,,"Three things are then proved, in full, inside the article.",,Three clarifications are part of the statement.,elsewhere in the deposit,0.344,0.535,0.0,,"the sentence reports what the document does, not what the world does",
D0011,supported (reworded),medium,,"First, an identity that lets you recover flows you did not measure from the stock changes you did measure.",5.4,"**Remark 16 (Exact specialization deficit identity).** *On every trajectory of the specialized system, and of every reduced system whose stock equation is ,*",elsewhere in the deposit,0.247,0.352,0.0,,,
D0012,supported (reworded),medium,,"Second, a reduction: conservation of a material can be checked once, on the wiring, instead of case by case.",6.2,; the second case reverses the inequality.,elsewhere in the deposit,0.259,0.322,0.0,,,
D0013,supported (reworded),medium,,"Third, an envelope theorem that bounds what any admissible flow can do, with a safety-barrier corollary.",3.5,"The envelope is the interval-arithmetic counterpart, at the level of declared flux bounds, of the data-reconciliation practice of material flow analysis (Brunner and Rechberger, 2004).",elsewhere in the deposit,0.283,0.399,0.0,,,
D0014,supported (reworded),medium,,"For the closed ledger with a finite geological donor, five more facts hold: a mass identity for the natural block, non-negativity of all stocks, no resting point at positive extraction effort, an exact description of where the system can rest when extraction stops, and the integrability of extraction against the donor budget.",1.2,"3. **The closed finite-donor theorem set.** For the closed ledger in which the geological donor is a state and no derived target appears: the natural-block mass identity, orthant invariance, absence of any interior rest point at positive effort, the vanishing-extraction rest set (extinction, carrying capacity, and the frozen-biomass face), and integrability of extraction on the finite donor budget (Section 4).",elsewhere in the deposit,0.292,0.037,0.0,,,
D0015,supported (reworded),medium,,"""Time to depletion"" is then split into **three quantities that cannot substitute for one another**: how hard the system is turning over, a ratio computed with rates frozen, and a hitting time conditional on a stated scenario.",,"Depletion time separates into three non-interchangeable quantities — gross turnover intensity, a frozen-rate ratio, and a scenario-conditioned hitting time — with uniform-drift bounds.",aligned passage,0.339,0.431,0.632,,,
D0016,supported (reworded),medium,,Bounds are proved for the case of uniform drift.,1.3,Section 4 proves the closed-ledger theorem set.,elsewhere in the deposit,0.325,0.5,0.632,,"polarity phrased differently (passage no negator, draft ['cannot', 'not'])",
D0017,supported (reworded),medium,,Three public data cases are then classified honestly for what they are.,,Three clarifications are part of the statement.,elsewhere in the deposit,0.301,0.466,0.632,,,
D0018,supported (reworded),medium,,"The groundwater anomaly index is a statistical index, not a stock ratio.",,"Three public-data applications are classified: G3P anomaly index is a statistical index, not a stock ratio; phosphate reserve-life ratio is arithmetic, not a forecast; fisheries removals-only time is a pressure scale, not a depletion diagnostic.",aligned passage,0.227,0.033,0.632,,,
D0019,supported (reworded),medium,,"The phosphate reserve-life figure is arithmetic, not a forecast.",,"Three public-data applications are classified: G3P anomaly index is a statistical index, not a stock ratio; phosphate reserve-life ratio is arithmetic, not a forecast; fisheries removals-only time is a pressure scale, not a depletion diagnostic.",aligned passage,0.182,0.176,0.632,,,
D0020,supported (reworded),medium,,"The fisheries removals-only time is a pressure scale, not a depletion diagnostic.",,"Three public-data applications are classified: G3P anomaly index is a statistical index, not a stock ratio; phosphate reserve-life ratio is arithmetic, not a forecast; fisheries removals-only time is a pressure scale, not a depletion diagnostic.",aligned passage,0.368,0.396,0.632,,,
D0021,supported (reworded),medium,,"No weighted average of components can certify that each component is safe, and five bookkeeping rules stop phantom mass.",,"No nonnegative weighting certifies componentwise nonnegativity, and five double-counting rules block phantom mass.",aligned passage,0.431,0.568,0.632,,,
D0022,supported (reworded),medium,,"Stochastic passage times are computed against a barrier defined by the record itself, and come with seven explicit statements of what they do not say.",,First-passage semantics on declared stochastic surrogates — stochastic passage times against a relative barrier — carry explicit non-claims.,aligned passage,0.348,0.41,0.632,,"polarity phrased differently (passage no negator, draft ['cannot', 'not'])",
D0023,supported (near-verbatim),high,,Weak and strong sustainability turn out to be two regimes of one system: the test is whether the material cycle can be closed as fast as we use things.,,"Weak and strong sustainability are two regimes of one system, distinguished by whether the material cycle closes at the rate of use.",aligned passage,0.706,0.767,0.632,,"polarity phrased differently (passage no negator, draft ['cannot', 'not'])",
